ID,Imię,Nazwisko,Płeć,Data urodzenia,Adres,Odznaki
182,Dawid,Dzwonnik,mężczyzna,01-07-2000,plac Klasztorna 18 19-225 Włocławek,"['Zaangażowany Twórca', 'Ekspercki Analizator Danych']"
183,Anita,Jereczek,kobieta,19-11-1987,pl. Makuszyńskiego 53 46-033 Wągrowiec,"['Technologiczny Wizjoner', 'Guru Matematyki', 'Doskonały Komunikator']"
184,Tymoteusz,Gogacz,mężczyzna,20-07-1998,pl. Dąbrowskiej 28 42-576 Rumia,"['Zaangażowany Twórca', 'Zaangażowany Twórca']"
185,Sonia,Ważny,kobieta,28-02-1988,al. Konopnickiej 99 01-320 Biłgoraj,[]
186,Tadeusz,Molka,mężczyzna,18-01-1984,al. Sikorskiego 63/08 24-062 Chełm,['Guru Matematyki']
187,Ada,Liedtke,kobieta,13-04-1996,aleja Stawowa 631 28-713 Zduńska Wola,"['Ekspercki Analizator Danych', 'Wielki Odkrywca', 'Guru Matematyki']"
188,Miłosz,Gaudyn,mężczyzna,25-11-1982,al. Rolna 958 57-714 Koło,"['Zaangażowany Twórca', 'Kreatywny Problem Solver', 'Doskonały Komunikator', 'Kreatywny Problem Solver']"
189,Szymon,Rymarz,mężczyzna,30-08-1986,al. Okulickiego 69 71-671 Jasło,[]
190,Marcin,Rajczak,mężczyzna,14-07-1999,al. Chełmońskiego 12 15-600 Mława,"['Kreatywny Problem Solver', 'Ekspercki Analizator Danych', 'Doskonały Komunikator']"
191,Maksymilian,Żach,mężczyzna,12-06-1994,pl. Powstańców Śląskich 13/74 16-176 Nowy Targ,"['Doskonały Komunikator', 'Doskonały Komunikator', 'Kreatywny Problem Solver', 'Wielki Odkrywca']"
192,Malwina,Sularz,kobieta,14-05-1998,aleja Poniatowskiego 61/83 63-986 Kościan,[]
193,Witold,Soczewka,mężczyzna,20-08-1986,pl. Składowa 08/26 37-373 Mysłowice,[]
194,Norbert,Rząd,mężczyzna,18-06-2003,pl. Boczna 03/50 30-887 Świnoujście,"['Technologiczny Wizjoner', 'Wielki Odkrywca', 'Zaangażowany Twórca']"
195,Klara,Pokrzywa,kobieta,05-07-1992,al. Strażacka 58/09 85-392 Koło,[]
196,Kaja,Jaje,kobieta,23-01-1983,pl. Zbożowa 575 46-235 Tarnobrzeg,['Ekspercki Analizator Danych']
197,Ernest,Dziewior,mężczyzna,06-04-1996,aleja Jana 59 56-129 Lubliniec,"['Mistrz Kodowania', 'Technologiczny Wizjoner', 'Wielki Odkrywca']"
198,Bartek,Nazar,mężczyzna,11-05-2005,ulica Fredry 23 39-737 Piotrków Trybunalski,['Kreatywny Problem Solver']
199,Eryk,Haraburda,mężczyzna,30-04-2005,ulica Porzeczkowa 85 85-775 Chojnice,"['Doskonały Komunikator', 'Ambitny Naukowiec', 'Ambitny Naukowiec']"
200,Grzegorz,Forysiak,mężczyzna,16-09-1997,pl. Jana 716 87-932 Oława,[]
201,Róża,Lepak,kobieta,22-05-2001,ulica Sarnia 77/86 25-231 Piastów,[]
202,Leonard,Amanowicz,mężczyzna,24-12-1990,al. Łąkowa 11/17 18-416 Białystok,[]
203,Norbert,Dąbroś,mężczyzna,04-01-1993,aleja Orzeszkowej 775 13-691 Lębork,[]
204,Kacper,Drygała,mężczyzna,31-01-1998,ulica Orla 86/08 53-882 Poznań,[]
205,Klara,Beker,kobieta,09-11-1996,plac Mickiewicza 09 75-286 Grodzisk Mazowiecki,['Mistrz Kodowania']
206,Kaja,Pazera,kobieta,22-07-2005,al. Cmentarna 13 22-569 Przemyśl,"['Doskonały Komunikator', 'Mistrz Kodowania', 'Ambitny Naukowiec']"
207,Maurycy,Gumienny,mężczyzna,30-06-1983,al. Kwiatowa 79/37 51-849 Tczew,"['Doskonały Komunikator', 'Technologiczny Wizjoner', 'Guru Matematyki']"
208,Liwia,Woszczak,kobieta,12-03-1989,al. Stroma 780 55-034 Ostrołęka,"['Ambitny Naukowiec', 'Doskonały Komunikator', 'Ekspercki Analizator Danych', 'Ekspercki Analizator Danych']"
209,Daniel,Jarosik,mężczyzna,25-03-1988,ul. Ściegiennego 10/68 32-085 Swarzędz,"['Ekspercki Analizator Danych', 'Ambitny Naukowiec']"
210,Liwia,Grzenia,kobieta,03-03-1990,ulica Jadwigi 071 36-877 Piekary Śląskie,"['Wielki Odkrywca', 'Ekspercki Analizator Danych', 'Guru Matematyki', 'Doskonały Komunikator']"
211,Iwo,Sus,mężczyzna,09-02-1989,al. Cicha 66/87 92-573 Słupsk,"['Technologiczny Wizjoner', 'Technologiczny Wizjoner']"
212,Wiktor,Drożdżal,mężczyzna,19-07-1983,pl. Wczasowa 38/55 40-748 Gliwice,"['Doskonały Komunikator', 'Innowacyjny Programista', 'Technologiczny Wizjoner']"
213,Mieszko,Kafel,mężczyzna,13-05-1987,al. Prusa 616 52-395 Bielawa,"['Technologiczny Wizjoner', 'Technologiczny Wizjoner', 'Wielki Odkrywca']"
214,Bianka,Młyńczak,kobieta,24-01-1991,ulica Prusa 94 86-618 Bielawa,"['Guru Matematyki', 'Wielki Odkrywca', 'Kreatywny Problem Solver']"
215,Maks,Gospodarek,mężczyzna,12-02-1991,al. Koralowa 845 08-333 Bielsk Podlaski,"['Zaangażowany Twórca', 'Doskonały Komunikator']"
216,Patryk,Słobodzian,mężczyzna,22-02-1991,al. Towarowa 735 93-253 Skawina,"['Kreatywny Problem Solver', 'Wielki Odkrywca', 'Ambitny Naukowiec', 'Technologiczny Wizjoner']"
217,Ewa,Mydlarz,kobieta,14-04-1984,al. Krokusowa 32/72 70-965 Lublin,"['Innowacyjny Programista', 'Doskonały Komunikator', 'Guru Matematyki', 'Innowacyjny Programista']"
218,Jerzy,Fidos,mężczyzna,09-10-1997,ul. Nadbrzeżna 277 15-618 Radom,['Mistrz Kodowania']
219,Róża,Sobiło,kobieta,01-10-2005,pl. Witosa 657 95-365 Żagań,"['Mistrz Kodowania', 'Technologiczny Wizjoner', 'Ambitny Naukowiec']"
220,Sandra,Łosiewicz,kobieta,08-06-1994,ul. Długa 12 71-237 Jastrzębie-Zdrój,"['Wielki Odkrywca', 'Kreatywny Problem Solver']"
221,Ernest,Sajnóg,mężczyzna,26-04-2001,plac Hallera 29 88-913 Jasło,"['Mistrz Kodowania', 'Kreatywny Problem Solver', 'Technologiczny Wizjoner']"
222,Dawid,Długozima,mężczyzna,13-08-1992,plac Cicha 293 50-679 Polkowice,"['Zaangażowany Twórca', 'Guru Matematyki', 'Ambitny Naukowiec']"
223,Ewelina,Żabierek,kobieta,09-02-1987,ulica Nadrzeczna 833 41-779 Kwidzyn,"['Ambitny Naukowiec', 'Doskonały Komunikator', 'Doskonały Komunikator', 'Innowacyjny Programista']"
224,Karol,Reichel,mężczyzna,13-04-1987,pl. Konwaliowa 78/46 85-871 Goleniów,"['Ambitny Naukowiec', 'Technologiczny Wizjoner', 'Ambitny Naukowiec']"
225,Jacek,Grygorowicz,mężczyzna,21-03-1991,ul. Jaśminowa 705 13-495 Ostrołęka,['Ambitny Naukowiec']
226,Olgierd,Bródka,mężczyzna,28-07-1995,ulica Liliowa 74/84 38-064 Siemianowice Śląskie,"['Mistrz Kodowania', 'Ambitny Naukowiec']"
227,Konstanty,Mirocha,mężczyzna,21-07-1985,ul. Wiśniowa 89 59-905 Zamość,['Kreatywny Problem Solver']
228,Damian,Łukasz,mężczyzna,28-08-1994,ulica Parkowa 234 29-580 Bielawa,"['Mistrz Kodowania', 'Innowacyjny Programista', 'Ekspercki Analizator Danych']"
229,Hubert,Małyszek,mężczyzna,23-02-1992,plac Wilcza 88 98-885 Oława,['Ekspercki Analizator Danych']
230,Sylwia,Glica,kobieta,18-08-1991,ulica Źródlana 73 54-862 Kielce,"['Wielki Odkrywca', 'Innowacyjny Programista', 'Guru Matematyki', 'Doskonały Komunikator']"
231,Marcin,Goś,mężczyzna,18-01-1984,plac Prusa 897 34-023 Bytom,['Innowacyjny Programista']
232,Sara,Basaj,kobieta,02-05-1987,pl. Lisia 89/99 44-190 Środa Wielkopolska,"['Wielki Odkrywca', 'Technologiczny Wizjoner', 'Technologiczny Wizjoner', 'Kreatywny Problem Solver']"
233,Arkadiusz,Piechna,mężczyzna,01-02-1991,al. Lisia 02 31-783 Knurów,['Mistrz Kodowania']
234,Kornel,Drop,mężczyzna,04-10-2002,ulica Kwiatowa 36 85-089 Piaseczno,[]
235,Artur,Kusio,mężczyzna,17-01-2001,ulica Liliowa 496 48-244 Kutno,['Zaangażowany Twórca']
236,Mariusz,Chwała,mężczyzna,03-09-2001,pl. Bydgoska 77/36 44-141 Olsztyn,"['Doskonały Komunikator', 'Doskonały Komunikator', 'Wielki Odkrywca']"
237,Kornelia,Kolarz,kobieta,02-09-1984,aleja Srebrna 55/63 24-846 Łódź,"['Guru Matematyki', 'Guru Matematyki']"
238,Aniela,Biesaga,kobieta,13-02-1989,plac Lawendowa 79 49-960 Środa Wielkopolska,"['Doskonały Komunikator', 'Wielki Odkrywca', 'Technologiczny Wizjoner', 'Zaangażowany Twórca']"
239,Miłosz,Okła,mężczyzna,18-02-2000,pl. Wczasowa 00 92-587 Goleniów,"['Ekspercki Analizator Danych', 'Zaangażowany Twórca', 'Guru Matematyki', 'Ekspercki Analizator Danych']"
240,Nicole,Paśnik,mężczyzna,26-08-2005,ul. Kilińskiego 138 51-260 Jarosław,"['Technologiczny Wizjoner', 'Innowacyjny Programista', 'Doskonały Komunikator', 'Ambitny Naukowiec']"
241,Grzegorz,Betlej,mężczyzna,08-02-1997,aleja Mostowa 626 09-220 Ostrołęka,[]
242,Urszula,Pasich,kobieta,08-09-2005,pl. Gdańska 358 74-989 Legnica,"['Mistrz Kodowania', 'Mistrz Kodowania', 'Technologiczny Wizjoner', 'Kreatywny Problem Solver']"
243,Sylwia,Bulak,kobieta,21-09-2002,aleja Olchowa 62/87 74-995 Police,['Kreatywny Problem Solver']
244,Leonard,Dębniak,mężczyzna,02-03-2002,ul. Okrężna 557 42-101 Czechowice-Dziedzice,['Guru Matematyki']
245,Janina,Kosowicz,kobieta,09-04-1989,plac Majowa 061 26-314 Olkusz,['Technologiczny Wizjoner']
246,Piotr,Kazimierczyk,mężczyzna,04-10-1986,ulica Malinowa 166 77-023 Pszczyna,['Wielki Odkrywca']
247,Ernest,Fugiel,mężczyzna,29-12-1993,ul. Wróblewskiego 90/87 53-149 Siemianowice Śląskie,[]
248,Grzegorz,Dłubak,mężczyzna,30-06-1985,ulica Morcinka 25/19 70-358 Szczecinek,[]
249,Fryderyk,Patora,mężczyzna,05-07-1993,ul. Łanowa 28 99-965 Łuków,['Zaangażowany Twórca']
250,Krzysztof,Plebanek,mężczyzna,17-04-1994,pl. Krakowska 775 39-797 Swarzędz,[]
251,Arkadiusz,Cieniuch,mężczyzna,29-04-1990,pl. Jana 443 06-245 Nowa Sól,[]
252,Kajetan,Bystroń,mężczyzna,28-01-1990,pl. Nowa 20 32-564 Turek,"['Doskonały Komunikator', 'Zaangażowany Twórca']"
253,Nikodem,Policht,mężczyzna,11-04-1988,al. Malczewskiego 504 55-489 Jelenia Góra,['Guru Matematyki']
254,Przemysław,Apostel,mężczyzna,18-10-2001,pl. Letniskowa 70 35-454 Rumia,"['Ekspercki Analizator Danych', 'Wielki Odkrywca', 'Wielki Odkrywca', 'Zaangażowany Twórca']"
255,Gaja,Sygut,kobieta,16-01-1992,plac Składowa 859 55-593 Nowa Sól,"['Mistrz Kodowania', 'Innowacyjny Programista', 'Zaangażowany Twórca', 'Wielki Odkrywca']"
256,Bianka,Przewoźna,kobieta,05-06-1984,aleja Tuwima 99 57-462 Jastrzębie-Zdrój,['Zaangażowany Twórca']
257,Jędrzej,Klus,mężczyzna,01-04-2004,ulica Waryńskiego 766 11-259 Chrzanów,"['Kreatywny Problem Solver', 'Innowacyjny Programista', 'Ambitny Naukowiec', 'Technologiczny Wizjoner']"
258,Justyna,Moryc,kobieta,13-04-1987,aleja Zielna 18 21-614 Koszalin,['Ekspercki Analizator Danych']
259,Hubert,Wysota,mężczyzna,25-09-1991,aleja Dobra 814 26-353 Otwock,[]
260,Franciszek,Rajczyk,mężczyzna,22-03-2001,ul. Ptasia 028 30-458 Szczytno,"['Zaangażowany Twórca', 'Kreatywny Problem Solver', 'Ekspercki Analizator Danych', 'Kreatywny Problem Solver']"
261,Nataniel,Strug,mężczyzna,17-07-1998,ulica Szkolna 084 46-889 Kalisz,['Technologiczny Wizjoner']
262,Mateusz,Godyń,mężczyzna,30-10-1992,ulica Rolnicza 74/86 18-604 Biłgoraj,"['Kreatywny Problem Solver', 'Ekspercki Analizator Danych', 'Ambitny Naukowiec', 'Kreatywny Problem Solver']"
263,Ada,Połom,kobieta,17-10-1989,aleja Torowa 18 46-733 Reda,['Mistrz Kodowania']
264,Kamil,Kozdra,mężczyzna,08-07-1988,aleja Gałczynskiego 78/95 89-946 Ełk,"['Wielki Odkrywca', 'Ambitny Naukowiec']"
265,Rozalia,Wiercigroch,kobieta,30-04-1996,ulica Wiązowa 34 16-172 Police,[]
266,Jerzy,Tlałka,mężczyzna,30-11-2004,plac Szarych Szeregów 87/65 87-803 Czerwionka-Leszczyny,[]
267,Ewa,Dyszy,kobieta,16-08-1984,aleja Ściegiennego 14/43 51-042 Bochnia,"['Kreatywny Problem Solver', 'Zaangażowany Twórca', 'Innowacyjny Programista', 'Ambitny Naukowiec']"
268,Rozalia,Machul,kobieta,07-03-1997,ul. Nadrzeczna 39 91-702 Wałbrzych,"['Zaangażowany Twórca', 'Wielki Odkrywca', 'Doskonały Komunikator']"
269,Jakub,Siewert,mężczyzna,09-12-1982,pl. Browarna 388 51-089 Włocławek,"['Doskonały Komunikator', 'Guru Matematyki', 'Zaangażowany Twórca', 'Ambitny Naukowiec']"
270,Błażej,Flasza,mężczyzna,02-08-2004,plac Solidarnosci 840 25-203 Cieszyn,[]
271,Borys,Matla,mężczyzna,04-06-1995,al. Bema 76 12-308 Brzeg,[]
272,Jan,Ścibisz,mężczyzna,25-03-1984,plac Miarki 27 44-629 Tarnów,"['Guru Matematyki', 'Doskonały Komunikator', 'Mistrz Kodowania', 'Ekspercki Analizator Danych']"
273,Adrianna,Marosz,kobieta,17-05-1991,plac Wąska 07/91 31-428 Gorlice,['Technologiczny Wizjoner']
274,Konrad,Ziarek,mężczyzna,30-11-1982,ulica Cicha 848 55-901 Radomsko,"['Innowacyjny Programista', 'Wielki Odkrywca', 'Doskonały Komunikator', 'Ambitny Naukowiec']"
275,Melania,Klepka,kobieta,20-01-1991,ulica Grottgera 925 55-661 Śrem,"['Ekspercki Analizator Danych', 'Ambitny Naukowiec', 'Wielki Odkrywca', 'Doskonały Komunikator']"
276,Oliwier,Burczak,mężczyzna,08-05-1990,ulica Tartaczna 079 48-539 Łuków,['Ekspercki Analizator Danych']
277,Oliwier,Pioch,mężczyzna,17-01-1986,al. Turystyczna 181 84-631 Mielec,[]
278,Bruno,Niemczuk,mężczyzna,25-04-1986,aleja Floriana 32 45-480 Kraśnik,[]
279,Witold,Makulec,mężczyzna,28-05-2000,pl. Szymanowskiego 463 72-451 Kluczbork,['Ekspercki Analizator Danych']
280,Leon,Seidel,mężczyzna,28-12-1998,pl. Sucharskiego 646 47-780 Opole,"['Innowacyjny Programista', 'Ekspercki Analizator Danych']"
281,Agnieszka,Szpala,kobieta,25-03-1983,ulica Borówkowa 37 74-304 Giżycko,"['Mistrz Kodowania', 'Ekspercki Analizator Danych', 'Innowacyjny Programista', 'Ambitny Naukowiec']"
282,Gustaw,Oleszczak,mężczyzna,08-03-2003,ulica Browarna 87 12-650 Mielec,"['Ekspercki Analizator Danych', 'Technologiczny Wizjoner', 'Guru Matematyki', 'Doskonały Komunikator']"
283,Iwo,Grzelczyk,mężczyzna,02-11-2003,ulica Morska 91 04-235 Ostrowiec Świętokrzyski,"['Technologiczny Wizjoner', 'Mistrz Kodowania', 'Guru Matematyki', 'Kreatywny Problem Solver']"
284,Maurycy,Pabisiak,mężczyzna,17-11-1992,al. Agrestowa 834 49-269 Kwidzyn,"['Kreatywny Problem Solver', 'Guru Matematyki', 'Wielki Odkrywca']"
285,Mateusz,Reimann,mężczyzna,12-09-1985,al. Piaskowa 210 73-448 Ełk,[]
286,Kacper,Supeł,mężczyzna,19-04-1985,ulica Hutnicza 54/89 40-901 Bielsko-Biała,"['Ambitny Naukowiec', 'Innowacyjny Programista', 'Innowacyjny Programista', 'Ekspercki Analizator Danych']"
287,Lidia,Rejniak,kobieta,18-05-2003,ulica Piłsudskiego 095 16-691 Bydgoszcz,"['Wielki Odkrywca', 'Zaangażowany Twórca', 'Guru Matematyki']"
288,Julianna,Hajdukiewicz,kobieta,30-10-1987,ulica Hallera 575 39-608 Ruda Śląska,"['Innowacyjny Programista', 'Doskonały Komunikator', 'Guru Matematyki']"
289,Natasza,Potyrała,kobieta,01-10-1987,ul. Olchowa 69 56-464 Zamość,"['Innowacyjny Programista', 'Wielki Odkrywca', 'Wielki Odkrywca']"
290,Maks,Wawrzonek,mężczyzna,20-01-1994,ulica Rolna 519 81-116 Nowy Sącz,[]
291,Leonard,Hirsch,mężczyzna,19-03-1992,pl. Wczasowa 59 17-392 Olsztyn,"['Guru Matematyki', 'Ambitny Naukowiec', 'Innowacyjny Programista']"
292,Nicole,Balawender,mężczyzna,14-06-1988,aleja Magnoliowa 07 61-541 Piekary Śląskie,"['Kreatywny Problem Solver', 'Technologiczny Wizjoner', 'Zaangażowany Twórca', 'Innowacyjny Programista']"
293,Malwina,Grzelec,kobieta,03-10-1994,aleja Mieszka I 53/39 18-275 Olkusz,"['Innowacyjny Programista', 'Technologiczny Wizjoner', 'Doskonały Komunikator', 'Technologiczny Wizjoner']"
294,Ewa,Ułanowicz,kobieta,06-05-1987,al. Niepodległości 62 99-541 Toruń,"['Guru Matematyki', 'Guru Matematyki']"
295,Melania,Kochel,kobieta,13-06-1985,aleja Krakowska 884 92-065 Żary,[]
296,Albert,Marach,mężczyzna,31-08-2004,pl. Łąkowa 35/66 69-013 Czeladź,"['Innowacyjny Programista', 'Mistrz Kodowania', 'Technologiczny Wizjoner']"
297,Alan,Gabrych,mężczyzna,05-09-2000,al. Jaśminowa 05 48-276 Łuków,"['Technologiczny Wizjoner', 'Wielki Odkrywca', 'Zaangażowany Twórca']"
298,Oskar,Pietrasiak,mężczyzna,15-10-1990,ul. Wiązowa 48/49 38-184 Gliwice,[]
299,Janina,Garncarek,kobieta,11-10-1987,aleja Chmielna 32 27-689 Łowicz,"['Wielki Odkrywca', 'Ekspercki Analizator Danych', 'Zaangażowany Twórca', 'Ambitny Naukowiec']"
300,Nicole,Kochanowicz,mężczyzna,07-04-1999,ulica Majowa 31/53 54-331 Krosno,"['Mistrz Kodowania', 'Mistrz Kodowania', 'Ambitny Naukowiec']"
301,Jakub,Cymer,mężczyzna,10-07-2003,ulica Mazowiecka 68/44 64-384 Kędzierzyn-Koźle,['Zaangażowany Twórca']
302,Robert,Klęczar,mężczyzna,29-10-2003,ulica Wodna 115 25-741 Piaseczno,"['Technologiczny Wizjoner', 'Innowacyjny Programista']"
303,Krystyna,Forysiak,kobieta,07-11-1990,plac Kolorowa 52/81 49-629 Tarnów,"['Wielki Odkrywca', 'Ambitny Naukowiec', 'Guru Matematyki']"
304,Patryk,Gregorek,mężczyzna,23-09-1989,ulica Wypoczynkowa 61/66 99-189 Lębork,"['Zaangażowany Twórca', 'Technologiczny Wizjoner', 'Innowacyjny Programista', 'Doskonały Komunikator']"
305,Aurelia,Gumienny,kobieta,02-12-1991,aleja Promienna 049 50-195 Pabianice,"['Guru Matematyki', 'Mistrz Kodowania', 'Ekspercki Analizator Danych', 'Zaangażowany Twórca']"
306,Ewa,Jędryczka,kobieta,03-09-1985,al. Piaskowa 489 02-240 Łaziska Górne,[]
307,Damian,Nieszporek,mężczyzna,24-08-2004,aleja Bankowa 866 32-609 Kalisz,"['Ekspercki Analizator Danych', 'Innowacyjny Programista', 'Wielki Odkrywca']"
308,Damian,Wiszowata,mężczyzna,15-07-2003,pl. Jana III Sobieskiego 354 61-814 Przemyśl,"['Doskonały Komunikator', 'Doskonały Komunikator']"
309,Ewelina,Poczta,kobieta,17-05-1992,aleja Wiatraczna 349 77-668 Ełk,[]
310,Nicole,Płócienniczak,mężczyzna,22-09-1992,aleja Żwirowa 02 89-381 Koło,"['Ambitny Naukowiec', 'Ekspercki Analizator Danych']"
311,Jeremi,Felisiak,mężczyzna,02-02-1986,pl. Daszyńskiego 96 71-951 Piotrków Trybunalski,[]
312,Melania,Kozon,kobieta,10-06-2000,pl. Agrestowa 67/49 36-198 Świnoujście,"['Doskonały Komunikator', 'Innowacyjny Programista']"
313,Kornel,Helman,mężczyzna,09-08-1988,ul. Zdrojowa 55/10 23-871 Oława,"['Ambitny Naukowiec', 'Technologiczny Wizjoner', 'Technologiczny Wizjoner', 'Wielki Odkrywca']"
314,Tadeusz,Żero,mężczyzna,09-08-2003,aleja Witosa 504 59-697 Jawor,[]
315,Marcin,Seweryniak,mężczyzna,07-10-2003,ul. Spacerowa 93 09-225 Pabianice,[]
316,Justyna,Superson,kobieta,08-08-1989,ul. Mazowiecka 517 01-669 Tarnobrzeg,"['Ambitny Naukowiec', 'Technologiczny Wizjoner', 'Guru Matematyki']"
317,Maksymilian,Szyma,mężczyzna,29-04-2005,ul. Kruczkowskiego 170 85-141 Środa Wielkopolska,"['Kreatywny Problem Solver', 'Guru Matematyki', 'Guru Matematyki', 'Doskonały Komunikator']"
318,Wiktor,Łodej,mężczyzna,10-03-1985,al. Wiejska 36 34-778 Radom,"['Mistrz Kodowania', 'Doskonały Komunikator', 'Mistrz Kodowania', 'Ambitny Naukowiec']"
319,Kamila,Grund,kobieta,08-10-1996,ulica Chmielna 196 77-315 Lubliniec,"['Doskonały Komunikator', 'Innowacyjny Programista', 'Zaangażowany Twórca', 'Zaangażowany Twórca']"
320,Krystyna,Kozubal,kobieta,23-01-1991,al. Krasickiego 026 95-278 Radom,[]
321,Przemysław,Pajek,mężczyzna,28-02-1997,ul. Leśna 250 16-621 Katowice,['Ambitny Naukowiec']
322,Anna Maria,Kopyść,kobieta,25-11-2004,pl. Ptasia 98 73-291 Starachowice,"['Technologiczny Wizjoner', 'Innowacyjny Programista', 'Guru Matematyki', 'Wielki Odkrywca']"
323,Konrad,Pleban,mężczyzna,22-04-1994,ulica Słowackiego 558 21-103 Kościerzyna,"['Ekspercki Analizator Danych', 'Guru Matematyki', 'Guru Matematyki', 'Doskonały Komunikator']"
324,Kaja,Łaciak,kobieta,14-12-1999,pl. Bolesława Krzywoustego 88 58-912 Jastrzębie-Zdrój,['Guru Matematyki']
325,Błażej,Małyszek,mężczyzna,27-10-1983,plac Kamienna 67/66 93-371 Reda,['Technologiczny Wizjoner']
326,Marianna,Klinkosz,kobieta,21-04-1995,aleja Mostowa 381 34-069 Olkusz,"['Guru Matematyki', 'Technologiczny Wizjoner', 'Technologiczny Wizjoner', 'Ekspercki Analizator Danych']"
327,Sandra,Choina,kobieta,28-08-2004,plac Słoneczna 813 33-187 Katowice,"['Kreatywny Problem Solver', 'Innowacyjny Programista', 'Innowacyjny Programista', 'Doskonały Komunikator']"
328,Jacek,Senator,mężczyzna,06-07-1989,aleja Rybacka 88 78-647 Płock,"['Ambitny Naukowiec', 'Innowacyjny Programista', 'Guru Matematyki', 'Mistrz Kodowania']"
329,Antoni,Kliszcz,mężczyzna,14-09-1995,aleja Moniuszki 226 53-084 Białogard,"['Kreatywny Problem Solver', 'Mistrz Kodowania', 'Mistrz Kodowania', 'Ambitny Naukowiec']"
330,Maciej,Patyna,mężczyzna,12-07-1987,al. Powstańców Wielkopolskich 23/02 51-046 Radom,"['Doskonały Komunikator', 'Doskonały Komunikator', 'Innowacyjny Programista']"
331,Rafał,Czura,mężczyzna,18-03-2003,aleja Perłowa 824 65-980 Zielona Góra,[]
332,Karol,Hrabia,mężczyzna,17-03-1983,pl. Agrestowa 64 02-258 Śrem,['Ambitny Naukowiec']
333,Jacek,Smal,mężczyzna,18-07-2000,al. Okrzei 152 26-518 Świecie,"['Wielki Odkrywca', 'Guru Matematyki', 'Ekspercki Analizator Danych']"
334,Monika,Balik,kobieta,14-07-1992,ulica Wolności 75/31 15-433 Wieluń,"['Doskonały Komunikator', 'Ambitny Naukowiec', 'Mistrz Kodowania', 'Innowacyjny Programista']"
335,Andrzej,Latko,mężczyzna,02-02-1992,al. Broniewskiego 90/70 54-719 Jarocin,"['Innowacyjny Programista', 'Guru Matematyki', 'Ambitny Naukowiec', 'Guru Matematyki']"
336,Elżbieta,Soliwoda,kobieta,27-07-2001,aleja Księżycowa 67/95 37-575 Ostrów Mazowiecka,"['Wielki Odkrywca', 'Mistrz Kodowania', 'Ambitny Naukowiec', 'Technologiczny Wizjoner']"
337,Cezary,Fitas,mężczyzna,25-10-1990,ulica Lelewela 60 04-491 Jasło,['Guru Matematyki']
338,Lidia,Piłka,kobieta,14-11-2000,pl. Kaszubska 968 80-104 Radom,[]
339,Adrianna,Tatarek,kobieta,15-01-2004,ul. Bursztynowa 74/91 28-960 Piotrków Trybunalski,"['Ambitny Naukowiec', 'Ambitny Naukowiec', 'Doskonały Komunikator']"
340,Patryk,Hadała,mężczyzna,02-06-1993,pl. Kopernika 230 85-700 Mława,[]
341,Stefan,Godzwon,mężczyzna,10-02-1987,ul. Sybiraków 22/28 37-905 Słupsk,['Guru Matematyki']
342,Marcel,Kabala,mężczyzna,31-03-1997,aleja Torowa 47 72-969 Żywiec,"['Mistrz Kodowania', 'Innowacyjny Programista', 'Mistrz Kodowania', 'Mistrz Kodowania']"
343,Eryk,Huczek,mężczyzna,22-03-1995,plac Zwycięstwa 82/20 96-985 Jelenia Góra,[]
344,Olaf,Langiewicz,mężczyzna,05-04-2004,pl. Kraszewskiego 624 09-029 Przemyśl,[]
345,Grzegorz,Chochół,mężczyzna,21-10-1989,aleja Konopnickiej 54/64 77-470 Legnica,['Technologiczny Wizjoner']
346,Damian,Zugaj,mężczyzna,25-06-1990,pl. Borowa 847 40-212 Stalowa Wola,"['Innowacyjny Programista', 'Zaangażowany Twórca']"
347,Marcin,Smardz,mężczyzna,27-10-1989,pl. Matejki 54/62 68-803 Myszków,"['Doskonały Komunikator', 'Guru Matematyki', 'Doskonały Komunikator']"
348,Tadeusz,Handke,mężczyzna,13-12-1992,ul. Niepodległości 898 17-747 Lębork,"['Ekspercki Analizator Danych', 'Kreatywny Problem Solver']"
349,Franciszek,Laszuk,mężczyzna,27-03-2004,al. Wyzwolenia 879 26-747 Zielona Góra,"['Doskonały Komunikator', 'Mistrz Kodowania', 'Doskonały Komunikator', 'Wielki Odkrywca']"
350,Jerzy,Garncarek,mężczyzna,17-11-1983,aleja Borówkowa 27/08 23-364 Cieszyn,[]
351,Krystyna,Walencik,kobieta,23-05-1984,aleja Gałczynskiego 16 36-556 Dębica,"['Mistrz Kodowania', 'Mistrz Kodowania', 'Ekspercki Analizator Danych']"
352,Jakub,Kołak,mężczyzna,30-08-1994,plac Fiołkowa 30 38-237 Tarnów,"['Innowacyjny Programista', 'Guru Matematyki']"
353,Gaja,Polakiewicz,kobieta,23-10-1996,al. Podgórna 676 84-008 Wrocław,"['Ekspercki Analizator Danych', 'Ekspercki Analizator Danych', 'Innowacyjny Programista']"
354,Sonia,Rode,kobieta,22-11-1993,al. Srebrna 031 50-960 Zgorzelec,"['Innowacyjny Programista', 'Kreatywny Problem Solver', 'Ekspercki Analizator Danych', 'Ekspercki Analizator Danych']"
355,Michał,Skubała,mężczyzna,27-01-1989,aleja Ptasia 63/66 09-254 Wągrowiec,['Ambitny Naukowiec']
356,Marek,Listwan,mężczyzna,29-04-1985,plac Kilińskiego 20 82-946 Starogard Gdański,[]
