ID,Imię,Nazwisko,Płeć,Data urodzenia,Adres,Odznaki
669,Gustaw,Wandzel,mężczyzna,15-01-1998,aleja Królewska 64/92 49-133 Dębica,[]
670,Dawid,Wawryniuk,mężczyzna,18-02-1987,aleja Wolności 392 37-326 Stalowa Wola,"['Kreatywny Problem Solver', 'Ambitny Naukowiec']"
671,Stefan,Kozica,mężczyzna,19-12-1991,plac Głowackiego 41 02-773 Świebodzice,['Ambitny Naukowiec']
672,Anita,Tonder,kobieta,31-01-2001,plac Mostowa 02/16 48-370 Przemyśl,"['Wielki Odkrywca', 'Technologiczny Wizjoner']"
673,Kamil,Dynia,mężczyzna,15-06-1989,ul. Składowa 96/81 18-624 Głogów,"['Mistrz Kodowania', 'Technologiczny Wizjoner']"
674,Franciszek,Politowicz,mężczyzna,06-07-2005,plac Szymanowskiego 66/40 09-054 Zawiercie,"['Doskonały Komunikator', 'Guru Matematyki', 'Wielki Odkrywca', 'Guru Matematyki']"
675,Daniel,Duszkiewicz,mężczyzna,19-06-1984,aleja Wyspiańskiego 94/55 78-931 Płońsk,"['Kreatywny Problem Solver', 'Guru Matematyki', 'Zaangażowany Twórca', 'Kreatywny Problem Solver']"
676,Kazimierz,Gozdur,mężczyzna,06-06-2005,pl. Skargi 53 16-150 Chełm,"['Guru Matematyki', 'Zaangażowany Twórca', 'Guru Matematyki', 'Innowacyjny Programista']"
677,Andrzej,Kopa,mężczyzna,14-01-1992,al. Odrzańska 99 01-729 Piekary Śląskie,[]
678,Adam,Piekara,mężczyzna,25-09-1991,ul. Prusa 19 21-701 Krosno,"['Mistrz Kodowania', 'Ekspercki Analizator Danych']"
679,Kajetan,Durma,mężczyzna,16-03-1998,aleja Kowalska 25 32-806 Kędzierzyn-Koźle,"['Guru Matematyki', 'Zaangażowany Twórca', 'Kreatywny Problem Solver']"
680,Borys,Janka,mężczyzna,12-10-1992,plac Wesoła 94 66-159 Świdnica,"['Zaangażowany Twórca', 'Ambitny Naukowiec']"
681,Jerzy,Sady,mężczyzna,07-06-1985,ul. Skośna 082 82-013 Kraśnik,['Kreatywny Problem Solver']
682,Daniel,Konsek,mężczyzna,14-06-1983,pl. Jeziorna 89 41-872 Ostrołęka,"['Mistrz Kodowania', 'Guru Matematyki', 'Zaangażowany Twórca', 'Zaangażowany Twórca']"
683,Bianka,Macha,kobieta,19-02-1989,aleja Torowa 688 73-859 Rybnik,['Zaangażowany Twórca']
684,Damian,Kolarczyk,mężczyzna,12-01-1991,al. Armii Krajowej 38/55 73-902 Jawor,[]
685,Eliza,Niedojadło,kobieta,23-08-1986,aleja Fabryczna 41 68-151 Goleniów,"['Ekspercki Analizator Danych', 'Zaangażowany Twórca', 'Doskonały Komunikator', 'Innowacyjny Programista']"
686,Jakub,Musiolik,mężczyzna,11-04-1984,plac Kreta 451 20-726 Dzierżoniów,[]
687,Julian,Graban,mężczyzna,29-05-1986,pl. Górska 282 18-805 Legionowo,"['Guru Matematyki', 'Guru Matematyki', 'Mistrz Kodowania', 'Doskonały Komunikator']"
688,Ernest,Uroda,mężczyzna,03-03-1992,aleja Przemysłowa 07 69-945 Wodzisław Śląski,"['Mistrz Kodowania', 'Ekspercki Analizator Danych', 'Guru Matematyki']"
689,Monika,Sondej,kobieta,30-08-1988,aleja Konwaliowa 879 18-507 Piotrków Trybunalski,"['Kreatywny Problem Solver', 'Technologiczny Wizjoner']"
690,Tymoteusz,Przybyś,mężczyzna,22-06-1988,pl. Lisia 193 28-765 Gdynia,"['Mistrz Kodowania', 'Innowacyjny Programista', 'Ambitny Naukowiec']"
691,Paweł,Krzeszowiec,mężczyzna,12-05-2000,pl. Liliowa 25/39 17-886 Tomaszów Mazowiecki,"['Kreatywny Problem Solver', 'Wielki Odkrywca', 'Mistrz Kodowania']"
692,Aurelia,Cader,kobieta,10-02-1999,ul. Rejtana 02/93 89-478 Marki,['Innowacyjny Programista']
693,Sebastian,Wojtarowicz,mężczyzna,24-06-1990,ul. Wiosenna 63/61 57-498 Piaseczno,"['Mistrz Kodowania', 'Ambitny Naukowiec', 'Zaangażowany Twórca']"
694,Dominik,Kopczyk,mężczyzna,28-08-1993,plac Baczynskiego 352 98-072 Słupsk,[]
695,Filip,Faltyn,mężczyzna,14-04-1989,plac Gałczynskiego 71 81-931 Sieradz,['Ambitny Naukowiec']
696,Natan,Twardy,mężczyzna,26-09-2002,aleja Leśna 13/73 34-811 Olkusz,"['Innowacyjny Programista', 'Kreatywny Problem Solver', 'Guru Matematyki']"
697,Cezary,Ankiewicz,mężczyzna,15-10-1997,aleja Zachodnia 930 98-354 Lubliniec,['Ekspercki Analizator Danych']
698,Wojciech,Bruzda,mężczyzna,02-11-1995,pl. Źródlana 98 07-377 Bielsko-Biała,"['Mistrz Kodowania', 'Ambitny Naukowiec']"
699,Ewelina,Strawa,kobieta,22-01-2003,plac Jabłoniowa 86/38 94-071 Toruń,"['Ekspercki Analizator Danych', 'Doskonały Komunikator']"
700,Ewa,Łyskawa,kobieta,16-11-1983,al. Opolska 15 71-310 Bielsk Podlaski,['Innowacyjny Programista']
701,Maciej,Foremniak,mężczyzna,23-10-2002,al. Wieniawskiego 34/65 80-949 Tarnobrzeg,"['Guru Matematyki', 'Kreatywny Problem Solver']"
702,Aniela,Dyjach,kobieta,23-05-1986,plac Boczna 95 68-136 Wołomin,"['Doskonały Komunikator', 'Ambitny Naukowiec']"
703,Krzysztof,Pietraszkiewicz,mężczyzna,06-03-2000,ulica Solidarnosci 296 06-056 Wyszków,"['Mistrz Kodowania', 'Wielki Odkrywca', 'Mistrz Kodowania']"
704,Sylwia,Heleniak,kobieta,05-08-1986,aleja Ciasna 114 43-087 Knurów,['Innowacyjny Programista']
705,Konrad,Balik,mężczyzna,03-05-2000,ulica Makowa 89/29 59-309 Polkowice,[]
706,Karina,Thomas,kobieta,31-10-1995,aleja Myśliwska 03 49-154 Czechowice-Dziedzice,[]
707,Adam,Sorbian,mężczyzna,26-12-1993,ulica Poznańska 09 81-606 Ciechanów,"['Guru Matematyki', 'Kreatywny Problem Solver', 'Ambitny Naukowiec', 'Technologiczny Wizjoner']"
708,Julita,Madejczyk,kobieta,05-06-2000,ul. Bukowa 728 70-182 Czerwionka-Leszczyny,['Ambitny Naukowiec']
709,Krystian,Gleba,mężczyzna,10-02-1985,plac Poznańska 85 77-058 Konin,[]
710,Kacper,Dąbrówka,mężczyzna,01-08-1996,ul. Fredry 95/47 59-779 Wągrowiec,"['Innowacyjny Programista', 'Technologiczny Wizjoner']"
711,Natasza,Dziewit,kobieta,13-09-1996,aleja Akacjowa 22/36 50-728 Giżycko,"['Innowacyjny Programista', 'Ekspercki Analizator Danych', 'Guru Matematyki', 'Ekspercki Analizator Danych']"
712,Antoni,Jażdżyk,mężczyzna,18-08-1990,ulica Wiejska 430 96-778 Sanok,"['Kreatywny Problem Solver', 'Ekspercki Analizator Danych', 'Mistrz Kodowania', 'Zaangażowany Twórca']"
713,Ida,Grabas,kobieta,13-08-1987,plac Zdrojowa 159 66-043 Świebodzice,['Ekspercki Analizator Danych']
714,Sara,Kiełbik,kobieta,24-02-1996,al. Nałkowskiej 448 33-283 Sochaczew,"['Ambitny Naukowiec', 'Innowacyjny Programista']"
715,Aniela,Miozga,kobieta,21-09-1997,pl. Rózana 20/82 89-966 Żary,"['Technologiczny Wizjoner', 'Innowacyjny Programista', 'Ekspercki Analizator Danych', 'Ambitny Naukowiec']"
716,Kamila,Piszcz,kobieta,25-02-1988,plac Słoneczna 63/93 74-638 Racibórz,"['Wielki Odkrywca', 'Ambitny Naukowiec']"
717,Stefan,Sajda,mężczyzna,11-06-1996,plac Kasprowicza 115 27-523 Kluczbork,"['Guru Matematyki', 'Technologiczny Wizjoner']"
718,Anastazja,Bartkowicz,kobieta,18-10-1999,pl. Bolesława Chrobrego 38 22-145 Bartoszyce,"['Doskonały Komunikator', 'Wielki Odkrywca']"
719,Liwia,Batóg,kobieta,17-01-1998,ulica Słowianska 10 26-394 Żary,"['Technologiczny Wizjoner', 'Technologiczny Wizjoner', 'Doskonały Komunikator']"
720,Anna Maria,Sowała,kobieta,05-09-1992,ulica Słowianska 038 67-950 Siedlce,"['Doskonały Komunikator', 'Technologiczny Wizjoner']"
721,Albert,Karpiel,mężczyzna,12-12-1988,aleja Zbożowa 077 52-095 Świętochłowice,"['Technologiczny Wizjoner', 'Mistrz Kodowania', 'Doskonały Komunikator']"
722,Mieszko,Bosek,mężczyzna,18-02-1990,ulica Konstytucji 3 Maja 695 76-205 Piastów,[]
723,Tomasz,Merchel,mężczyzna,31-07-1995,al. Łączna 685 74-266 Skawina,"['Ambitny Naukowiec', 'Ekspercki Analizator Danych']"
724,Sylwia,Malcharek,kobieta,22-05-1988,plac Torowa 68 87-480 Turek,['Mistrz Kodowania']
725,Marcelina,Teterycz,kobieta,15-04-2004,plac Strażacka 87/53 67-847 Augustów,"['Zaangażowany Twórca', 'Technologiczny Wizjoner', 'Guru Matematyki', 'Innowacyjny Programista']"
726,Tomasz,Dziczek,mężczyzna,21-04-1993,ul. Kowalska 33/02 23-633 Krotoszyn,"['Guru Matematyki', 'Doskonały Komunikator', 'Innowacyjny Programista', 'Mistrz Kodowania']"
727,Melania,Golczyk,kobieta,26-09-1990,ulica Radosna 47/23 53-791 Rzeszów,"['Mistrz Kodowania', 'Wielki Odkrywca', 'Wielki Odkrywca']"
728,Jędrzej,Leszcz,mężczyzna,07-02-2004,ulica Majowa 965 25-191 Jarocin,"['Mistrz Kodowania', 'Mistrz Kodowania', 'Kreatywny Problem Solver', 'Zaangażowany Twórca']"
729,Maciej,Matyszczak,mężczyzna,26-05-1983,plac Składowa 64 90-013 Wrocław,"['Zaangażowany Twórca', 'Ekspercki Analizator Danych', 'Ambitny Naukowiec', 'Guru Matematyki']"
730,Nikodem,Cherek,mężczyzna,01-09-1986,plac Podwale 01/79 31-293 Myszków,['Guru Matematyki']
731,Krystyna,Bartłomiejczyk,kobieta,30-07-1992,al. Spacerowa 10/18 46-326 Iława,[]
732,Łukasz,Berg,mężczyzna,29-07-2000,ulica Krasińskiego 37 59-342 Ciechanów,"['Ekspercki Analizator Danych', 'Mistrz Kodowania', 'Guru Matematyki']"
733,Adam,Kucab,mężczyzna,23-07-2004,plac Hallera 152 04-353 Przemyśl,[]
734,Paweł,Jędruszczak,mężczyzna,03-10-2003,pl. Wyspiańskiego 93 53-359 Śrem,"['Zaangażowany Twórca', 'Zaangażowany Twórca', 'Kreatywny Problem Solver', 'Guru Matematyki']"
735,Jerzy,Narożna,mężczyzna,09-04-1998,ul. Wojska Polskiego 56 66-288 Bełchatów,"['Ekspercki Analizator Danych', 'Mistrz Kodowania']"
736,Grzegorz,Salawa,mężczyzna,18-12-1991,plac Gołębia 44/42 51-873 Skawina,['Innowacyjny Programista']
737,Adrian,Czuj,mężczyzna,21-11-1991,plac Tuwima 009 78-226 Zgierz,"['Doskonały Komunikator', 'Guru Matematyki', 'Mistrz Kodowania', 'Kreatywny Problem Solver']"
738,Tobiasz,Szarpak,mężczyzna,28-04-1994,ulica Piłsudskiego 103 02-810 Płock,[]
739,Oliwier,Dąbrowicz,mężczyzna,08-05-1994,aleja Zaułek 441 81-864 Wyszków,"['Zaangażowany Twórca', 'Wielki Odkrywca', 'Doskonały Komunikator', 'Guru Matematyki']"
740,Julita,Steuer,kobieta,11-08-1988,ulica Mickiewicza 69 97-143 Biłgoraj,"['Ekspercki Analizator Danych', 'Mistrz Kodowania', 'Doskonały Komunikator', 'Ekspercki Analizator Danych']"
741,Fabian,Huczko,mężczyzna,23-11-2000,plac Koralowa 385 53-717 Sandomierz,[]
742,Borys,Martyka,mężczyzna,11-05-1992,al. Kolonia 393 58-248 Marki,['Ekspercki Analizator Danych']
743,Malwina,Królikiewicz,kobieta,30-04-1987,plac Sarnia 40 86-609 Szczytno,['Zaangażowany Twórca']
744,Adam,Koterba,mężczyzna,21-09-1996,al. Chmielna 29/97 22-811 Zgierz,"['Zaangażowany Twórca', 'Ekspercki Analizator Danych', 'Wielki Odkrywca', 'Ekspercki Analizator Danych']"
745,Julian,Puto,mężczyzna,28-03-1986,pl. Pałacowa 237 84-643 Jasło,"['Mistrz Kodowania', 'Mistrz Kodowania', 'Mistrz Kodowania']"
746,Kaja,Misiaszek,kobieta,30-06-1989,aleja Jana 08 64-512 Bartoszyce,"['Ambitny Naukowiec', 'Guru Matematyki']"
747,Julianna,Tasarz,kobieta,19-11-2004,plac Dąbrowskiego 60 24-652 Swarzędz,"['Kreatywny Problem Solver', 'Ekspercki Analizator Danych']"
748,Leon,Budzyń,mężczyzna,24-04-1993,ulica Turystyczna 95 05-976 Kędzierzyn-Koźle,['Technologiczny Wizjoner']
749,Dorota,Majerczyk,kobieta,15-09-1999,aleja Wojciecha 86 95-892 Koszalin,['Innowacyjny Programista']
750,Mikołaj,Łukasiuk,mężczyzna,27-11-1994,al. Szymanowskiego 65 25-806 Kwidzyn,"['Zaangażowany Twórca', 'Ekspercki Analizator Danych', 'Kreatywny Problem Solver', 'Ambitny Naukowiec']"
751,Klara,Królczyk,kobieta,06-11-1982,aleja Wyspiańskiego 853 49-624 Skawina,"['Ambitny Naukowiec', 'Ambitny Naukowiec', 'Wielki Odkrywca', 'Guru Matematyki']"
752,Sebastian,Mordal,mężczyzna,06-04-1987,pl. Borówkowa 75/31 64-356 Chełm,"['Guru Matematyki', 'Mistrz Kodowania', 'Guru Matematyki']"
753,Wiktor,Rząca,mężczyzna,01-05-2000,ul. Agrestowa 376 11-697 Szczecin,"['Innowacyjny Programista', 'Wielki Odkrywca', 'Doskonały Komunikator']"
754,Gustaw,Małyszek,mężczyzna,15-06-1988,aleja Wiosenna 572 03-670 Kościerzyna,[]
755,Franciszek,Hutnik,mężczyzna,12-11-1995,pl. Dąbrowskiej 38 03-289 Sosnowiec,[]
756,Gaja,Siara,kobieta,19-08-1990,plac Słowackiego 763 22-070 Koło,"['Doskonały Komunikator', 'Zaangażowany Twórca', 'Mistrz Kodowania', 'Mistrz Kodowania']"
757,Miłosz,Dąbrowicz,mężczyzna,16-02-1986,al. Zwycięstwa 044 45-738 Zduńska Wola,[]
758,Krzysztof,Toborek,mężczyzna,12-08-1988,ulica Powstańców Śląskich 050 01-922 Szczecin,"['Doskonały Komunikator', 'Ekspercki Analizator Danych', 'Mistrz Kodowania', 'Wielki Odkrywca']"
759,Ernest,Kroll,mężczyzna,10-10-1991,aleja Sybiraków 126 59-602 Września,['Wielki Odkrywca']
760,Ada,Pyszka,kobieta,10-08-1988,pl. Radosna 50/30 54-831 Ząbki,"['Technologiczny Wizjoner', 'Doskonały Komunikator', 'Zaangażowany Twórca', 'Ekspercki Analizator Danych']"
761,Ida,Wawrzeńczyk,kobieta,27-11-2001,aleja Zachodnia 337 53-586 Oława,[]
762,Juliusz,Han,mężczyzna,11-03-1993,ulica Wiązowa 029 45-582 Skarżysko-Kamienna,"['Kreatywny Problem Solver', 'Technologiczny Wizjoner', 'Technologiczny Wizjoner', 'Mistrz Kodowania']"
763,Maks,Cylwik,mężczyzna,12-02-1994,aleja Bolesława Chrobrego 11 36-073 Świdnica,"['Ekspercki Analizator Danych', 'Technologiczny Wizjoner']"
764,Tadeusz,Bejma,mężczyzna,29-03-1988,ulica Czarnieckiego 148 31-608 Inowrocław,"['Innowacyjny Programista', 'Ambitny Naukowiec', 'Wielki Odkrywca']"
765,Kamila,Wódka,kobieta,15-06-2002,pl. Krucza 411 85-337 Białystok,"['Ambitny Naukowiec', 'Zaangażowany Twórca', 'Kreatywny Problem Solver', 'Ekspercki Analizator Danych']"
766,Przemysław,Dudała,mężczyzna,07-05-2001,pl. Rzemieślnicza 94 02-105 Piastów,['Ekspercki Analizator Danych']
767,Maciej,Judek,mężczyzna,05-11-1984,ulica Spacerowa 95/36 08-291 Jasło,[]
768,Gabriel,Gordon,mężczyzna,21-03-1990,plac Broniewskiego 83/99 40-377 Wałcz,[]
769,Kamil,Gorol,mężczyzna,20-09-2005,plac Wilcza 69/96 76-001 Kędzierzyn-Koźle,"['Ambitny Naukowiec', 'Zaangażowany Twórca']"
770,Monika,Kurc,kobieta,02-06-1983,ulica Wąska 47/64 49-075 Giżycko,"['Technologiczny Wizjoner', 'Wielki Odkrywca']"
771,Igor,Herda,mężczyzna,12-04-1994,ul. Jaskółcza 93 59-736 Zawiercie,[]
772,Malwina,Szyjka,kobieta,07-06-1990,al. Kopernika 691 81-711 Grudziądz,"['Doskonały Komunikator', 'Mistrz Kodowania', 'Zaangażowany Twórca', 'Ekspercki Analizator Danych']"
773,Mikołaj,Kalista,mężczyzna,29-09-1994,plac Wiśniowa 74/08 47-534 Stalowa Wola,"['Mistrz Kodowania', 'Guru Matematyki', 'Technologiczny Wizjoner', 'Ambitny Naukowiec']"
774,Daniel,Szafarz,mężczyzna,28-12-2001,ul. Solidarnosci 61 34-828 Mysłowice,"['Ambitny Naukowiec', 'Mistrz Kodowania']"
775,Kacper,Milcarz,mężczyzna,02-07-1987,al. Szpitalna 85 88-672 Kętrzyn,"['Wielki Odkrywca', 'Doskonały Komunikator', 'Kreatywny Problem Solver']"
776,Olga,Serwa,kobieta,25-05-1996,aleja Kopernika 660 15-591 Oświęcim,"['Doskonały Komunikator', 'Ekspercki Analizator Danych']"
777,Michał,Siedlik,mężczyzna,07-09-1986,ulica Dąbrowskiej 72 16-160 Wrocław,"['Kreatywny Problem Solver', 'Zaangażowany Twórca', 'Ambitny Naukowiec', 'Guru Matematyki']"
778,Damian,Nagel,mężczyzna,01-06-1987,ulica Dąbrowskiego 39 12-962 Iława,['Doskonały Komunikator']
779,Karol,Igras,mężczyzna,15-11-1990,ul. Opolska 65/77 29-610 Śrem,"['Guru Matematyki', 'Wielki Odkrywca', 'Wielki Odkrywca']"
780,Józef,Jaszczur,mężczyzna,20-04-1998,pl. Mazowiecka 50 84-810 Jastrzębie-Zdrój,"['Wielki Odkrywca', 'Technologiczny Wizjoner', 'Zaangażowany Twórca']"
781,Witold,Bitner,mężczyzna,06-05-1996,aleja Wierzbowa 00/65 49-609 Knurów,"['Ekspercki Analizator Danych', 'Kreatywny Problem Solver', 'Guru Matematyki']"
782,Adam,Sośniak,mężczyzna,25-09-1997,ulica Parkowa 24/78 21-903 Ełk,"['Zaangażowany Twórca', 'Ambitny Naukowiec', 'Guru Matematyki']"
783,Norbert,Wesoły,mężczyzna,12-06-1983,ulica Wyszyńskiego 32 47-944 Katowice,['Ambitny Naukowiec']
784,Wiktor,Janiszek,mężczyzna,18-03-2002,plac Przemysłowa 02/37 78-647 Jawor,"['Guru Matematyki', 'Technologiczny Wizjoner']"
785,Norbert,Pyszny,mężczyzna,12-04-1989,aleja Jagodowa 962 45-141 Słupsk,"['Technologiczny Wizjoner', 'Ambitny Naukowiec']"
786,Andrzej,Macias,mężczyzna,29-10-2003,al. Skrajna 434 46-300 Goleniów,"['Mistrz Kodowania', 'Ambitny Naukowiec']"
787,Tymoteusz,Ciuła,mężczyzna,10-02-1983,pl. Nowowiejska 69 88-098 Pruszcz Gdański,"['Guru Matematyki', 'Ambitny Naukowiec']"
788,Szymon,Sommer,mężczyzna,05-09-2002,pl. Storczykowa 75/02 43-353 Nowy Sącz,"['Technologiczny Wizjoner', 'Ekspercki Analizator Danych', 'Guru Matematyki']"
789,Sebastian,Józwik,mężczyzna,27-02-1991,pl. Bolesława Krzywoustego 09 61-722 Świętochłowice,[]
790,Marianna,Fogt,kobieta,17-02-1996,ulica Kołłątaja 980 42-282 Racibórz,"['Kreatywny Problem Solver', 'Technologiczny Wizjoner', 'Wielki Odkrywca', 'Wielki Odkrywca']"
791,Łukasz,Kryszkiewicz,mężczyzna,28-02-1986,plac Dworcowa 86/32 23-606 Marki,"['Guru Matematyki', 'Zaangażowany Twórca', 'Wielki Odkrywca']"
792,Ksawery,Aleksiejuk,mężczyzna,28-07-2005,al. Słoneczna 937 96-967 Kłodzko,"['Kreatywny Problem Solver', 'Ekspercki Analizator Danych']"
793,Patryk,Przewoźnik,mężczyzna,04-04-1992,plac Górna 479 82-282 Kalisz,['Mistrz Kodowania']
794,Urszula,Skwira,kobieta,18-11-2002,pl. Baczynskiego 88/00 69-824 Kętrzyn,[]
795,Karina,Byra,kobieta,20-12-1984,ulica Kruczkowskiego 109 75-103 Ostrowiec Świętokrzyski,"['Mistrz Kodowania', 'Ekspercki Analizator Danych', 'Mistrz Kodowania']"
796,Klara,Janc,kobieta,29-09-1988,aleja Hutnicza 12/28 54-515 Inowrocław,"['Doskonały Komunikator', 'Wielki Odkrywca', 'Technologiczny Wizjoner', 'Kreatywny Problem Solver']"
797,Sandra,Matulka,kobieta,17-01-1997,ul. Kamienna 098 57-328 Kościan,['Wielki Odkrywca']
798,Lidia,Lizurej,kobieta,17-03-2002,aleja Żeromskiego 76 47-021 Będzin,"['Kreatywny Problem Solver', 'Guru Matematyki', 'Kreatywny Problem Solver']"
799,Andrzej,Żywica,mężczyzna,21-01-1984,pl. Powstańców Wielkopolskich 672 79-400 Piła,"['Innowacyjny Programista', 'Ambitny Naukowiec', 'Technologiczny Wizjoner', 'Kreatywny Problem Solver']"
800,Stanisław,Oleśkiewicz,mężczyzna,22-06-1995,aleja Warszawska 38/74 76-832 Gdynia,[]
801,Lidia,Dering,kobieta,02-11-1984,aleja Kościuszki 58 83-637 Tarnów,[]
802,Tymon,Młodzik,mężczyzna,19-05-1994,aleja Plater 565 10-590 Wyszków,[]
803,Mariusz,Smyl,mężczyzna,08-07-1988,al. Korfantego 63/30 88-776 Stalowa Wola,"['Doskonały Komunikator', 'Innowacyjny Programista', 'Technologiczny Wizjoner']"
804,Hubert,Muniak,mężczyzna,18-05-1999,plac Ptasia 66 14-193 Kalisz,[]
805,Agnieszka,Lewicz,kobieta,15-06-2001,plac Owocowa 822 81-552 Śrem,"['Kreatywny Problem Solver', 'Innowacyjny Programista']"
806,Dominik,Buszko,mężczyzna,30-03-1996,al. Ściegiennego 27/90 47-378 Skawina,[]
807,Sara,Działo,kobieta,03-06-1995,aleja Wybickiego 33/61 82-931 Giżycko,"['Technologiczny Wizjoner', 'Technologiczny Wizjoner', 'Wielki Odkrywca', 'Technologiczny Wizjoner']"
808,Norbert,Burnat,mężczyzna,25-01-2005,plac Borówkowa 40 39-958 Turek,[]
809,Mikołaj,Miękina,mężczyzna,05-05-1993,plac Szarych Szeregów 87 22-649 Racibórz,"['Ekspercki Analizator Danych', 'Guru Matematyki', 'Zaangażowany Twórca']"
810,Blanka,Pabiś,kobieta,19-09-1990,plac Krańcowa 285 23-854 Mikołów,[]
811,Jacek,Piegza,mężczyzna,29-10-1994,ul. Willowa 81 18-500 Mikołów,"['Zaangażowany Twórca', 'Guru Matematyki', 'Innowacyjny Programista', 'Doskonały Komunikator']"
812,Maksymilian,Kajak,mężczyzna,21-07-1994,plac Poziomkowa 47 91-363 Oleśnica,"['Technologiczny Wizjoner', 'Guru Matematyki']"
813,Marcin,Maślach,mężczyzna,01-03-1998,pl. Krańcowa 162 88-238 Ząbki,"['Ekspercki Analizator Danych', 'Kreatywny Problem Solver', 'Doskonały Komunikator', 'Wielki Odkrywca']"
814,Nela,Kalinka,kobieta,20-02-1993,pl. Jana 227 83-989 Iława,[]
815,Julian,Sprawka,mężczyzna,03-09-2005,aleja Widok 680 99-259 Tychy,['Wielki Odkrywca']
816,Kornelia,Gill,kobieta,20-07-1998,aleja Jaworowa 73 24-047 Dzierżoniów,['Technologiczny Wizjoner']
817,Borys,Piotrkowicz,mężczyzna,24-08-2002,pl. Kreta 29 06-071 Łomża,"['Wielki Odkrywca', 'Doskonały Komunikator', 'Ambitny Naukowiec']"
818,Kornelia,Kowara,kobieta,07-07-1998,al. Turkusowa 34/14 97-226 Lublin,"['Guru Matematyki', 'Wielki Odkrywca', 'Ekspercki Analizator Danych', 'Kreatywny Problem Solver']"
819,Jerzy,Kapciak,mężczyzna,05-06-1991,ulica Porzeczkowa 07 70-601 Toruń,"['Doskonały Komunikator', 'Zaangażowany Twórca', 'Doskonały Komunikator']"
820,Mariusz,Szczypiór,mężczyzna,28-10-1984,aleja Kasztanowa 60 41-113 Kościan,"['Ambitny Naukowiec', 'Ambitny Naukowiec', 'Mistrz Kodowania']"
821,Oskar,Kansy,mężczyzna,07-05-2004,ul. Traugutta 36/72 32-947 Dębica,"['Zaangażowany Twórca', 'Kreatywny Problem Solver']"
822,Apolonia,Znojek,kobieta,23-11-1983,ul. Wiejska 64 08-599 Września,"['Guru Matematyki', 'Ambitny Naukowiec', 'Doskonały Komunikator']"
823,Ryszard,Adrian,mężczyzna,01-11-1983,ul. Sowia 847 53-017 Jarocin,"['Guru Matematyki', 'Wielki Odkrywca']"
824,Nela,Teper,kobieta,07-09-1986,pl. Rubinowa 46/33 73-869 Polkowice,"['Zaangażowany Twórca', 'Kreatywny Problem Solver', 'Kreatywny Problem Solver', 'Ambitny Naukowiec']"
825,Liwia,Garncarek,kobieta,04-09-1996,aleja Promienna 494 53-458 Nowa Sól,['Ekspercki Analizator Danych']
826,Cezary,Patalas,mężczyzna,27-02-2002,plac Młyńska 26/56 14-033 Września,[]
827,Kamil,Stępak,mężczyzna,22-12-1995,pl. Wróblewskiego 86 20-786 Inowrocław,"['Innowacyjny Programista', 'Guru Matematyki', 'Ekspercki Analizator Danych']"
828,Krystian,Tekieli,mężczyzna,15-02-1989,al. Toruńska 24 12-069 Wrocław,"['Ekspercki Analizator Danych', 'Technologiczny Wizjoner', 'Wielki Odkrywca', 'Zaangażowany Twórca']"
829,Emil,Kroczak,mężczyzna,08-01-1999,pl. Cyprysowa 46/81 38-401 Wieluń,"['Innowacyjny Programista', 'Doskonały Komunikator', 'Kreatywny Problem Solver', 'Mistrz Kodowania']"
830,Cezary,Szafarz,mężczyzna,14-11-1994,aleja Zapolskiej 51 79-235 Wałcz,['Innowacyjny Programista']
831,Leon,Chomik,mężczyzna,06-02-1993,ul. Szewska 168 46-689 Kętrzyn,"['Technologiczny Wizjoner', 'Zaangażowany Twórca']"
832,Jędrzej,Podgórna,mężczyzna,18-06-1993,al. Widok 37/63 01-547 Nysa,"['Ambitny Naukowiec', 'Ekspercki Analizator Danych', 'Wielki Odkrywca', 'Ambitny Naukowiec']"
833,Daniel,Putek,mężczyzna,11-10-1989,ul. Składowa 10 52-623 Inowrocław,['Wielki Odkrywca']
834,Olgierd,Lelonek,mężczyzna,10-10-1995,aleja Kalinowa 415 79-811 Czerwionka-Leszczyny,[]
835,Damian,Grzejszczak,mężczyzna,01-05-1994,al. Podmiejska 54 48-964 Suwałki,"['Guru Matematyki', 'Ambitny Naukowiec', 'Doskonały Komunikator', 'Wielki Odkrywca']"
836,Dagmara,Wykręt,kobieta,22-12-2004,al. Lelewela 06/52 85-033 Wągrowiec,[]
837,Sebastian,Kniaź,mężczyzna,23-05-1986,plac Zamkowa 08/19 58-811 Legnica,['Wielki Odkrywca']
838,Artur,Pachnik,mężczyzna,10-08-1984,al. Rumiankowa 65 12-164 Rybnik,"['Ekspercki Analizator Danych', 'Wielki Odkrywca']"
839,Liwia,Franas,kobieta,29-10-1996,plac Mieszka I 513 67-338 Bydgoszcz,['Ambitny Naukowiec']
840,Rozalia,Jędrak,kobieta,23-04-2002,aleja Mazowiecka 99 11-067 Września,['Wielki Odkrywca']
841,Eliza,Duszczak,kobieta,18-09-2001,plac Okulickiego 26 02-496 Łomża,"['Zaangażowany Twórca', 'Innowacyjny Programista', 'Innowacyjny Programista']"
842,Sara,Kieca,kobieta,15-08-2004,al. Kołłątaja 649 71-494 Gdynia,['Doskonały Komunikator']
843,Monika,Kuciel,kobieta,27-08-1999,ulica Staszica 77 52-282 Polkowice,"['Mistrz Kodowania', 'Wielki Odkrywca', 'Ambitny Naukowiec']"
