ID,Imię,Nazwisko,Katedra,Tytuł naukowy,email
259,Grzegorz,Kabza,Katedra Architektury Systemów Komputerowych,magister,grzegorz.kabza@studentbook.com
260,Grzegorz,Trybała,Katedra Metrologii i Optoelektroniki,profesor,grzegorz.trybała@studentbook.com
261,Kazimierz,Bakalarczyk,Katedra Systemów Multimedialnych,profesor,kazimierz.bakalarczyk@studentbook.com
262,Cyprian,Szalast,Katedra Metrologii i Optoelektroniki,inżynier,cyprian.szalast@studentbook.com
263,Bianka,Berus,Katedra Algorytmów i Modelowania Systemów,doktor,bianka.berus@studentbook.com
264,Rafał,Kossak,Katedra Inżynierii Oprogramowania,profesor,rafał.kossak@studentbook.com
265,Natan,Trepczyk,Katedra Systemów Multimedialnych,profesor,natan.trepczyk@studentbook.com
266,Marianna,Jeka,Katedra Sieci Teleinformacyjnych,doktor habilitowny,marianna.jeka@studentbook.com
267,Bruno,Roter,Katedra Teleinformatyki,inżynier,bruno.roter@studentbook.com
268,Kacper,Mytnik,Katedra Inżynierii Mikrofalowej i Antenowej,inżynier,kacper.mytnik@studentbook.com
269,Klara,Pitura,Katedra Systemów Multimedialnych,magister,klara.pitura@studentbook.com
270,Kajetan,Hadaś,Katedra Inżynierii Biomedycznej,magister,kajetan.hadaś@studentbook.com
271,Leonard,Pierzak,Katedra Inteligentnych Systemów Interaktywnych,inżynier,leonard.pierzak@studentbook.com
272,Roksana,Dudała,Katedra Architektury Systemów Komputerowych,inżynier,roksana.dudała@studentbook.com
273,Malwina,Słupik,Katedra Inżynierii Materiałów Funkcjonalnych,profesor,malwina.słupik@studentbook.com
274,Nela,Lemanowicz,Katedra Inteligentnych Systemów Interaktywnych,inżynier,nela.lemanowicz@studentbook.com
275,Szymon,Nagórka,Katedra Systemów Mikroelektronicznych,profesor,szymon.nagórka@studentbook.com
276,Aleks,Kidoń,Katedra Architektury Systemów Komputerowych,inżynier,aleks.kidoń@studentbook.com
277,Tomasz,Nickel,Katedra Architektury Systemów Komputerowych,profesor,tomasz.nickel@studentbook.com
278,Konrad,Becker,Katedra Teleinformatyki,doktor habilitowny,konrad.becker@studentbook.com
279,Damian,Mikoda,Katedra Systemów i Sieci Radiokomunikacyjnych,inżynier,damian.mikoda@studentbook.com
280,Iwo,Misztela,Katedra Inżynierii Biomedycznej,doktor habilitowny,iwo.misztela@studentbook.com
281,Franciszek,Latuszek,Katedra Systemów Mikroelektronicznych,magister,franciszek.latuszek@studentbook.com
282,Tadeusz,Matraszek,Katedra Systemów Mikroelektronicznych,inżynier,tadeusz.matraszek@studentbook.com
283,Leonard,Kubisz,Katedra Algorytmów i Modelowania Systemów,profesor,leonard.kubisz@studentbook.com
284,Malwina,Skonieczka,Katedra Systemów Mikroelektronicznych,doktor,malwina.skonieczka@studentbook.com
285,Kajetan,Mokwa,Katedra Inżynierii Mikrofalowej i Antenowej,doktor,kajetan.mokwa@studentbook.com
286,Marcelina,Popielarczyk,Katedra Inżynierii Oprogramowania,profesor,marcelina.popielarczyk@studentbook.com
287,Adam,Działak,Katedra Inżynierii Biomedycznej,doktor habilitowny,adam.działak@studentbook.com
288,Tola,Basa,Katedra Sieci Teleinformacyjnych,doktor,tola.basa@studentbook.com
289,Andrzej,Szmalec,Katedra Systemów Mikroelektronicznych,profesor,andrzej.szmalec@studentbook.com
290,Jędrzej,Saran,Katedra Inżynierii Biomedycznej,magister,jędrzej.saran@studentbook.com
291,Arkadiusz,Stupak,Katedra Inteligentnych Systemów Interaktywnych,magister,arkadiusz.stupak@studentbook.com
292,Mariusz,Pielka,Katedra Architektury Systemów Komputerowych,profesor,mariusz.pielka@studentbook.com
293,Mikołaj,Reimann,Katedra Inżynierii Oprogramowania,profesor,mikołaj.reimann@studentbook.com
294,Igor,Chochół,Katedra Metrologii i Optoelektroniki,doktor habilitowny,igor.chochół@studentbook.com
295,Nela,Jamrożek,Katedra Algorytmów i Modelowania Systemów,doktor,nela.jamrożek@studentbook.com
296,Kamil,Leśna,Katedra Systemów i Sieci Radiokomunikacyjnych,doktor habilitowny,kamil.leśna@studentbook.com
297,Anastazja,Jaroszuk,Katedra Teleinformatyki,profesor,anastazja.jaroszuk@studentbook.com
298,Paweł,Jośko,Katedra Inżynierii Biomedycznej,magister,paweł.jośko@studentbook.com
299,Krystian,Osica,Katedra Algorytmów i Modelowania Systemów,doktor habilitowny,krystian.osica@studentbook.com
