ID,Imie,Nazwisko,Wydzia³,Katedra,Tytu³ naukowy,email
180,Norbert,Majdan,Wydzia³ Architektury,Katedra Systemów Mikroelektronicznych,profesor,norbert.majdan@studentbook.com
181,Jakub,Dulemba,Wydzia³ Chemiczny,Katedra Systemów Decyzyjnych i Robotyki,doktor habilitowny,jakub.dulemba@studentbook.com
182,Kornelia,Wasiuk,Wydzia³ Elektrotechniki i Automatyki,Katedra Metrologii i Optoelektroniki,in¿ynier,kornelia.wasiuk@studentbook.com
183,Monika,Makoœ,Wydzia³ In¿ynierii L¹dowej i Œrodowiska,Katedra Systemów Multimedialnych,doktor habilitowny,monika.makoœ@studentbook.com
184,Olga,Pyc,Wydzia³ In¿ynierii L¹dowej i Œrodowiska,Katedra Systemów Multimedialnych,doktor,olga.pyc@studentbook.com
185,Kaja,Makles,Wydzia³ Oceanotechniki i Okrêtownictwa,Katedra Metrologii i Optoelektroniki,magister,kaja.makles@studentbook.com
186,El¿bieta,Fidos,Wydzia³ Oceanotechniki i Okrêtownictwa,Katedra Systemów i Sieci Radiokomunikacyjnych,profesor,el¿bieta.fidos@studentbook.com
187,Roksana,So³tan,Wydzia³ Elektroniki Telekomunikacji i Informatyki,Katedra In¿ynierii Biomedycznej,in¿ynier,roksana.so³tan@studentbook.com
188,Bartek,Œleziak,Wydzia³ Elektrotechniki i Automatyki,Katedra Sygna³ów i Systemów,magister,bartek.œleziak@studentbook.com
189,Anna Maria,Sojda,Wydzia³ In¿ynierii L¹dowej i Œrodowiska,Katedra Teleinformatyki,magister,anna maria.sojda@studentbook.com
190,Robert,St¹por,Wydzia³ Elektroniki Telekomunikacji i Informatyki,Katedra Systemów Multimedialnych,doktor,robert.st¹por@studentbook.com
191,Andrzej,Gajdzik,Wydzia³ Mechaniczny,Katedra Systemów Decyzyjnych i Robotyki,in¿ynier,andrzej.gajdzik@studentbook.com
192,Konrad,Jarczyk,Wydzia³ Architektury,Katedra Teleinformatyki,profesor,konrad.jarczyk@studentbook.com
193,Gustaw,Dzikiewicz,Wydzia³ Elektroniki Telekomunikacji i Informatyki,Katedra In¿ynierii Materia³ów Funkcjonalnych,doktor habilitowny,gustaw.dzikiewicz@studentbook.com
194,Ró¿a,B³a¿ejewicz,Wydzia³ Fizyki Technicznej i Matematyki Stosowanej,Katedra Architektury Systemów Komputerowych,in¿ynier,ró¿a.b³a¿ejewicz@studentbook.com
195,Rados³aw,Kreczmer,Wydzia³ Elektrotechniki i Automatyki,Katedra Architektury Systemów Komputerowych,doktor habilitowny,rados³aw.kreczmer@studentbook.com
196,Witold,Grabczak,Wydzia³ Oceanotechniki i Okrêtownictwa,Katedra Systemów Multimedialnych,magister,witold.grabczak@studentbook.com
197,Klara,Leoniak,Wydzia³ Oceanotechniki i Okrêtownictwa,Katedra Sygna³ów i Systemów,magister,klara.leoniak@studentbook.com
198,Tomasz,Szymków,Wydzia³ Elektrotechniki i Automatyki,Katedra Systemów i Sieci Radiokomunikacyjnych,profesor,tomasz.szymków@studentbook.com
199,Rozalia,Pelka,Wydzia³ Mechaniczny,Katedra Metrologii i Optoelektroniki,doktor habilitowny,rozalia.pelka@studentbook.com
200,Iwo,Kolarczyk,Wydzia³ Zarz¹dzania i Ekonomi,Katedra Algorytmów i Modelowania Systemów,doktor habilitowny,iwo.kolarczyk@studentbook.com
201,Nicole,Morga³a,Wydzia³ Elektroniki Telekomunikacji i Informatyki,Katedra Teleinformatyki,in¿ynier,nicole.morga³a@studentbook.com
202,Gustaw,Opyrcha³,Wydzia³ Oceanotechniki i Okrêtownictwa,Katedra In¿ynierii Biomedycznej,profesor,gustaw.opyrcha³@studentbook.com
203,Marcel,Kurcz,Wydzia³ Fizyki Technicznej i Matematyki Stosowanej,Katedra Systemów Multimedialnych,profesor,marcel.kurcz@studentbook.com
204,Witold,Banyœ,Wydzia³ In¿ynierii L¹dowej i Œrodowiska,Katedra Sieci Teleinformacyjnych,doktor habilitowny,witold.banyœ@studentbook.com
205,Eryk,Pietryga,Wydzia³ Elektroniki Telekomunikacji i Informatyki,Katedra Teleinformatyki,profesor,eryk.pietryga@studentbook.com
206,Dorota,Kurzak,Wydzia³ Mechaniczny,Katedra Teleinformatyki,doktor,dorota.kurzak@studentbook.com
207,Przemys³aw,Jêdruszczak,Wydzia³ Zarz¹dzania i Ekonomi,Katedra Systemów Mikroelektronicznych,doktor habilitowny,przemys³aw.jêdruszczak@studentbook.com
208,Liwia,Wo³odŸko,Wydzia³ In¿ynierii L¹dowej i Œrodowiska,Katedra In¿ynierii Materia³ów Funkcjonalnych,in¿ynier,liwia.wo³odŸko@studentbook.com
209,Julian,Bobik,Wydzia³ Elektrotechniki i Automatyki,Katedra Systemów i Sieci Radiokomunikacyjnych,doktor habilitowny,julian.bobik@studentbook.com
210,Hubert,Gogó³,Wydzia³ Elektroniki Telekomunikacji i Informatyki,Katedra Systemów Mikroelektronicznych,doktor habilitowny,hubert.gogó³@studentbook.com
211,Stanis³aw,Pastucha,Wydzia³ In¿ynierii L¹dowej i Œrodowiska,Katedra Architektury Systemów Komputerowych,magister,stanis³aw.pastucha@studentbook.com
212,Jêdrzej,Olchawa,Wydzia³ Fizyki Technicznej i Matematyki Stosowanej,Katedra In¿ynierii Materia³ów Funkcjonalnych,magister,jêdrzej.olchawa@studentbook.com
213,Kornel,Albin,Wydzia³ Architektury,Katedra In¿ynierii Mikrofalowej i Antenowej,magister,kornel.albin@studentbook.com
214,Cyprian,Frelek,Wydzia³ Architektury,Katedra In¿ynierii Biomedycznej,in¿ynier,cyprian.frelek@studentbook.com
215,Ksawery,Szulist,Wydzia³ In¿ynierii L¹dowej i Œrodowiska,Katedra Systemów i Sieci Radiokomunikacyjnych,profesor,ksawery.szulist@studentbook.com
216,Aniela,Bas,Wydzia³ Chemiczny,Katedra Metrologii i Optoelektroniki,in¿ynier,aniela.bas@studentbook.com
217,Maks,£abuœ,Wydzia³ Oceanotechniki i Okrêtownictwa,Katedra In¿ynierii Mikrofalowej i Antenowej,profesor,maks.³abuœ@studentbook.com
218,Kalina,Stypa,Wydzia³ In¿ynierii L¹dowej i Œrodowiska,Katedra Inteligentnych Systemów Interaktywnych,magister,kalina.stypa@studentbook.com
219,Ró¿a,Malcherek,Wydzia³ Chemiczny,Katedra In¿ynierii Oprogramowania,in¿ynier,ró¿a.malcherek@studentbook.com
220,Andrzej,Tórz,Wydzia³ In¿ynierii L¹dowej i Œrodowiska,Katedra Sieci Teleinformacyjnych,in¿ynier,andrzej.tórz@studentbook.com
221,Karina,B³a¿ejewicz,Wydzia³ Architektury,Katedra Sygna³ów i Systemów,doktor,karina.b³a¿ejewicz@studentbook.com
222,Marcelina,Pal,Wydzia³ Elektroniki Telekomunikacji i Informatyki,Katedra Metrologii i Optoelektroniki,magister,marcelina.pal@studentbook.com
223,Tymoteusz,Basak,Wydzia³ Mechaniczny,Katedra In¿ynierii Materia³ów Funkcjonalnych,magister,tymoteusz.basak@studentbook.com
224,Wojciech,Szczot,Wydzia³ Chemiczny,Katedra Inteligentnych Systemów Interaktywnych,doktor habilitowny,wojciech.szczot@studentbook.com
225,Dawid,Bodych,Wydzia³ Chemiczny,Katedra Inteligentnych Systemów Interaktywnych,doktor,dawid.bodych@studentbook.com
226,Cezary,Myszor,Wydzia³ Architektury,Katedra Metrologii i Optoelektroniki,profesor,cezary.myszor@studentbook.com
227,Stefan,Pachnik,Wydzia³ Mechaniczny,Katedra Sieci Teleinformacyjnych,magister,stefan.pachnik@studentbook.com
228,Mateusz,Hyjek,Wydzia³ Architektury,Katedra Architektury Systemów Komputerowych,doktor habilitowny,mateusz.hyjek@studentbook.com
229,Dominik,Amanowicz,Wydzia³ Mechaniczny,Katedra Metrologii i Optoelektroniki,in¿ynier,dominik.amanowicz@studentbook.com
230,Tomasz,Osik,Wydzia³ Architektury,Katedra In¿ynierii Materia³ów Funkcjonalnych,profesor,tomasz.osik@studentbook.com
231,Tymoteusz,Fija³ek,Wydzia³ Oceanotechniki i Okrêtownictwa,Katedra Inteligentnych Systemów Interaktywnych,profesor,tymoteusz.fija³ek@studentbook.com
232,Anita,Je¿yk,Wydzia³ In¿ynierii L¹dowej i Œrodowiska,Katedra Systemów Geoinformatycznych,doktor habilitowny,anita.je¿yk@studentbook.com
233,Ryszard,Pacholak,Wydzia³ Elektrotechniki i Automatyki,Katedra Algorytmów i Modelowania Systemów,magister,ryszard.pacholak@studentbook.com
234,Ewa,Reiter,Wydzia³ Zarz¹dzania i Ekonomi,Katedra Systemów Multimedialnych,in¿ynier,ewa.reiter@studentbook.com
235,Apolonia,Czura,Wydzia³ In¿ynierii L¹dowej i Œrodowiska,Katedra Systemów Mikroelektronicznych,in¿ynier,apolonia.czura@studentbook.com
236,Maks,M³ot,Wydzia³ Fizyki Technicznej i Matematyki Stosowanej,Katedra Systemów Decyzyjnych i Robotyki,in¿ynier,maks.m³ot@studentbook.com
237,Dawid,Reimann,Wydzia³ Architektury,Katedra Systemów Multimedialnych,magister,dawid.reimann@studentbook.com
238,Robert,Jarmu³a,Wydzia³ Zarz¹dzania i Ekonomi,Katedra Teleinformatyki,doktor habilitowny,robert.jarmu³a@studentbook.com
239,Juliusz,Sza³as,Wydzia³ Architektury,Katedra In¿ynierii Oprogramowania,doktor,juliusz.sza³as@studentbook.com
240,Ewa,Siwczak,Wydzia³ Architektury,Katedra Sieci Teleinformacyjnych,doktor habilitowny,ewa.siwczak@studentbook.com
241,Stefan,Pajek,Wydzia³ Chemiczny,Katedra Systemów Multimedialnych,doktor,stefan.pajek@studentbook.com
242,Eliza,Kowala,Wydzia³ Elektroniki Telekomunikacji i Informatyki,Katedra In¿ynierii Materia³ów Funkcjonalnych,in¿ynier,eliza.kowala@studentbook.com
243,Ignacy,Sot,Wydzia³ Fizyki Technicznej i Matematyki Stosowanej,Katedra Sieci Teleinformacyjnych,doktor habilitowny,ignacy.sot@studentbook.com
244,Bruno,Kurzac,Wydzia³ Elektrotechniki i Automatyki,Katedra Systemów Multimedialnych,doktor habilitowny,bruno.kurzac@studentbook.com
245,Jan,Go³oœ,Wydzia³ Fizyki Technicznej i Matematyki Stosowanej,Katedra Sieci Teleinformacyjnych,doktor habilitowny,jan.go³oœ@studentbook.com
246,El¿bieta,Kocurek,Wydzia³ Elektrotechniki i Automatyki,Katedra In¿ynierii Biomedycznej,doktor,el¿bieta.kocurek@studentbook.com
247,Inga,Bar³óg,Wydzia³ In¿ynierii L¹dowej i Œrodowiska,Katedra In¿ynierii Materia³ów Funkcjonalnych,profesor,inga.bar³óg@studentbook.com
248,Liwia,Pietrek,Wydzia³ Elektroniki Telekomunikacji i Informatyki,Katedra In¿ynierii Materia³ów Funkcjonalnych,profesor,liwia.pietrek@studentbook.com
249,Ksawery,Niedoœpia³,Wydzia³ Architektury,Katedra Systemów Mikroelektronicznych,profesor,ksawery.niedoœpia³@studentbook.com
250,Grzegorz,Andrejczuk,Wydzia³ Chemiczny,Katedra Teleinformatyki,magister,grzegorz.andrejczuk@studentbook.com
251,Wojciech,Plich,Wydzia³ Fizyki Technicznej i Matematyki Stosowanej,Katedra Systemów Decyzyjnych i Robotyki,profesor,wojciech.plich@studentbook.com
252,Stanis³aw,Bitner,Wydzia³ Oceanotechniki i Okrêtownictwa,Katedra Teleinformatyki,profesor,stanis³aw.bitner@studentbook.com
253,Fabian,G³uszko,Wydzia³ Chemiczny,Katedra Teleinformatyki,magister,fabian.g³uszko@studentbook.com
254,Kazimierz,Zapora,Wydzia³ Oceanotechniki i Okrêtownictwa,Katedra In¿ynierii Materia³ów Funkcjonalnych,doktor,kazimierz.zapora@studentbook.com
255,Artur,Halik,Wydzia³ Elektrotechniki i Automatyki,Katedra Systemów i Sieci Radiokomunikacyjnych,profesor,artur.halik@studentbook.com
256,Julian,Chochó³,Wydzia³ In¿ynierii L¹dowej i Œrodowiska,Katedra In¿ynierii Oprogramowania,magister,julian.chochó³@studentbook.com
257,Mariusz,Ziarnik,Wydzia³ In¿ynierii L¹dowej i Œrodowiska,Katedra Systemów i Sieci Radiokomunikacyjnych,magister,mariusz.ziarnik@studentbook.com
258,Kazimierz,Kusik,Wydzia³ Oceanotechniki i Okrêtownictwa,Katedra Systemów Decyzyjnych i Robotyki,doktor,kazimierz.kusik@studentbook.com
259,Janina,Bryda,Wydzia³ Zarz¹dzania i Ekonomi,Katedra Sieci Teleinformacyjnych,profesor,janina.bryda@studentbook.com
260,Wiktor,Pêdrak,Wydzia³ Elektroniki Telekomunikacji i Informatyki,Katedra In¿ynierii Mikrofalowej i Antenowej,profesor,wiktor.pêdrak@studentbook.com
261,Ignacy,Hnat,Wydzia³ Zarz¹dzania i Ekonomi,Katedra Sygna³ów i Systemów,profesor,ignacy.hnat@studentbook.com
262,Mariusz,Ró¿ak,Wydzia³ Elektrotechniki i Automatyki,Katedra In¿ynierii Oprogramowania,profesor,mariusz.ró¿ak@studentbook.com
263,Agnieszka,Jankowicz,Wydzia³ In¿ynierii L¹dowej i Œrodowiska,Katedra Systemów Multimedialnych,doktor,agnieszka.jankowicz@studentbook.com
264,Nikodem,Kopik,Wydzia³ In¿ynierii L¹dowej i Œrodowiska,Katedra Architektury Systemów Komputerowych,profesor,nikodem.kopik@studentbook.com
265,Adrianna,Zamora,Wydzia³ Elektrotechniki i Automatyki,Katedra Systemów i Sieci Radiokomunikacyjnych,in¿ynier,adrianna.zamora@studentbook.com
266,Robert,W³odyka,Wydzia³ Chemiczny,Katedra In¿ynierii Mikrofalowej i Antenowej,in¿ynier,robert.w³odyka@studentbook.com
267,Sara,KniaŸ,Wydzia³ Elektrotechniki i Automatyki,Katedra In¿ynierii Oprogramowania,magister,sara.kniaŸ@studentbook.com
268,Dawid,Klucznik,Wydzia³ Chemiczny,Katedra In¿ynierii Materia³ów Funkcjonalnych,profesor,dawid.klucznik@studentbook.com
269,Andrzej,Ambrozik,Wydzia³ Oceanotechniki i Okrêtownictwa,Katedra Systemów i Sieci Radiokomunikacyjnych,magister,andrzej.ambrozik@studentbook.com
270,Kacper,Praczyk,Wydzia³ Mechaniczny,Katedra In¿ynierii Mikrofalowej i Antenowej,profesor,kacper.praczyk@studentbook.com
271,Ró¿a,Szyjka,Wydzia³ Architektury,Katedra In¿ynierii Oprogramowania,magister,ró¿a.szyjka@studentbook.com
272,Sandra,Szczesiak,Wydzia³ Mechaniczny,Katedra Inteligentnych Systemów Interaktywnych,profesor,sandra.szczesiak@studentbook.com
273,Pawe³,Bajko,Wydzia³ Chemiczny,Katedra In¿ynierii Mikrofalowej i Antenowej,doktor,pawe³.bajko@studentbook.com
274,Dariusz,Godzik,Wydzia³ Chemiczny,Katedra Systemów Geoinformatycznych,doktor habilitowny,dariusz.godzik@studentbook.com
275,Ró¿a,Olearczyk,Wydzia³ In¿ynierii L¹dowej i Œrodowiska,Katedra Systemów Multimedialnych,profesor,ró¿a.olearczyk@studentbook.com
276,Nataniel,Bohdanowicz,Wydzia³ Mechaniczny,Katedra In¿ynierii Mikrofalowej i Antenowej,doktor habilitowny,nataniel.bohdanowicz@studentbook.com
277,Tola,Szyc,Wydzia³ In¿ynierii L¹dowej i Œrodowiska,Katedra Teleinformatyki,doktor habilitowny,tola.szyc@studentbook.com
278,Daniel,Pastuszko,Wydzia³ Oceanotechniki i Okrêtownictwa,Katedra Sieci Teleinformacyjnych,in¿ynier,daniel.pastuszko@studentbook.com
279,Adrianna,Lisak,Wydzia³ Elektroniki Telekomunikacji i Informatyki,Katedra Architektury Systemów Komputerowych,magister,adrianna.lisak@studentbook.com
280,Dorota,Kurz,Wydzia³ Mechaniczny,Katedra Inteligentnych Systemów Interaktywnych,profesor,dorota.kurz@studentbook.com
281,Gabriel,Ha³ka,Wydzia³ In¿ynierii L¹dowej i Œrodowiska,Katedra Teleinformatyki,doktor habilitowny,gabriel.ha³ka@studentbook.com
282,Ró¿a,Strzelczak,Wydzia³ Fizyki Technicznej i Matematyki Stosowanej,Katedra Systemów Geoinformatycznych,doktor,ró¿a.strzelczak@studentbook.com
283,Krzysztof,Schwarz,Wydzia³ Oceanotechniki i Okrêtownictwa,Katedra In¿ynierii Biomedycznej,profesor,krzysztof.schwarz@studentbook.com
284,Julian,Irla,Wydzia³ Mechaniczny,Katedra Teleinformatyki,doktor,julian.irla@studentbook.com
285,Marianna,Bryda,Wydzia³ Mechaniczny,Katedra Systemów Mikroelektronicznych,in¿ynier,marianna.bryda@studentbook.com
286,Jacek,Myk,Wydzia³ Elektroniki Telekomunikacji i Informatyki,Katedra Algorytmów i Modelowania Systemów,profesor,jacek.myk@studentbook.com
287,Borys,Kapral,Wydzia³ Elektrotechniki i Automatyki,Katedra Sygna³ów i Systemów,doktor,borys.kapral@studentbook.com
288,Nela,W¹sek,Wydzia³ In¿ynierii L¹dowej i Œrodowiska,Katedra Systemów Geoinformatycznych,magister,nela.w¹sek@studentbook.com
289,Liwia,Kochel,Wydzia³ Elektroniki Telekomunikacji i Informatyki,Katedra In¿ynierii Biomedycznej,doktor,liwia.kochel@studentbook.com
290,Alan,Kowala,Wydzia³ Mechaniczny,Katedra Sieci Teleinformacyjnych,magister,alan.kowala@studentbook.com
291,Kamil,Karsznia,Wydzia³ Fizyki Technicznej i Matematyki Stosowanej,Katedra Systemów Decyzyjnych i Robotyki,in¿ynier,kamil.karsznia@studentbook.com
292,Roksana,Gul,Wydzia³ Elektrotechniki i Automatyki,Katedra Sieci Teleinformacyjnych,profesor,roksana.gul@studentbook.com
293,Jerzy,D³ugajczyk,Wydzia³ Fizyki Technicznej i Matematyki Stosowanej,Katedra Metrologii i Optoelektroniki,doktor habilitowny,jerzy.d³ugajczyk@studentbook.com
294,Mi³osz,Ho³ota,Wydzia³ Chemiczny,Katedra In¿ynierii Biomedycznej,doktor habilitowny,mi³osz.ho³ota@studentbook.com
295,Julita,Œwiergiel,Wydzia³ Fizyki Technicznej i Matematyki Stosowanej,Katedra Systemów Decyzyjnych i Robotyki,doktor,julita.œwiergiel@studentbook.com
296,Konrad,Paprotny,Wydzia³ Mechaniczny,Katedra Systemów Multimedialnych,doktor habilitowny,konrad.paprotny@studentbook.com
297,Kamil,Tyka,Wydzia³ Oceanotechniki i Okrêtownictwa,Katedra Algorytmów i Modelowania Systemów,profesor,kamil.tyka@studentbook.com
298,Malwina,Armata,Wydzia³ Architektury,Katedra Systemów Decyzyjnych i Robotyki,doktor habilitowny,malwina.armata@studentbook.com
299,Borys,Sabak,Wydzia³ Chemiczny,Katedra Architektury Systemów Komputerowych,doktor,borys.sabak@studentbook.com
