ID,Imie,Nazwisko,P³eæ,Data urodzenia,Adres
683,Stanis³aw,Jêdraszczyk,mê¿czyzna,1999-10-23,al. Fabryczna 597 55-359 Warszawa
684,Konstanty,Cymer,mê¿czyzna,1991-06-24,al. S³owackiego 67/48 37-523 E³k
685,Micha³,Frydrychowicz,mê¿czyzna,2003-07-21,ul. Targowa 291 76-174 Bytom
686,Eryk,Wieja,mê¿czyzna,1990-02-19,al. Po³udniowa 798 57-673 Otwock
687,Kornelia,Loba,kobieta,1997-08-10,ul. Wiœlana 51/76 14-205 Swarzêdz
688,Apolonia,Brachaczek,kobieta,2005-04-29,plac Powstañców 99 54-794 Boles³awiec
689,Maciej,Bryda,mê¿czyzna,1986-01-05,aleja Miarki 355 22-147 Jaros³aw
690,Mieszko,Gordon,mê¿czyzna,1985-05-21,aleja Jod³owa 700 09-190 Czêstochowa
691,Inga,Wawrzonek,kobieta,1987-12-10,ulica ¯eromskiego 69/43 37-663 Brzeg
692,Julita,Andrys,kobieta,1991-02-15,plac ¯abia 58 60-152 Boles³awiec
693,Przemys³aw,Kubasiak,mê¿czyzna,1994-12-17,plac Sokola 55 01-154 Jawor
694,Maciej,Szpyrka,mê¿czyzna,1994-05-11,ulica Zau³ek 11 39-185 Suwa³ki
695,Nataniel,Kazimierczuk,mê¿czyzna,1995-09-21,pl. Zaciszna 175 66-782 Wejherowo
696,Adrian,Pruchnik,mê¿czyzna,2005-03-21,ul. Akacjowa 60/96 07-666 Zgierz
697,Julianna,£aciak,kobieta,1998-02-04,pl. Morelowa 21 55-478 K³odzko
698,Ró¿a,Dziugie³,kobieta,1990-05-28,ul. Krzywa 91/39 66-559 Miko³ów
699,Piotr,Kie³bik,mê¿czyzna,2001-12-31,pl. Jadwigi 61 31-313 Tarnów
700,Marcelina,Legutko,kobieta,1983-01-28,ulica Miodowa 94 14-469 Dzier¿oniów
701,Grzegorz,Choroœ,mê¿czyzna,1999-11-01,pl. ródlana 896 18-503 Piotrków Trybunalski
702,Ewa,Milka,kobieta,1987-03-06,ul. Mazowiecka 61/87 55-403 Z¹bki
703,Malwina,Blaut,kobieta,2004-04-04,al. ródlana 370 64-468 Goleniów
704,Angelika,Jamro¿y,kobieta,1997-05-21,al. Glówna 73/37 75-647 Czechowice-Dziedzice
705,Ignacy,Kluczyk,mê¿czyzna,1986-11-08,ulica Magnoliowa 05/93 06-353 Ciechanów
706,Ignacy,Dziadowicz,mê¿czyzna,1983-02-05,pl. Wczasowa 87 49-765 Gorlice
707,B³a¿ej,Przystupa,mê¿czyzna,1983-01-14,al. Wilcza 80/28 28-442 Pruszcz Gdañski
708,Nataniel,Twardosz,mê¿czyzna,2003-02-09,al. Nieca³a 69 30-617 Bochnia
709,Cyprian,Steckiewicz,mê¿czyzna,2004-07-17,ul. S³owicza 82/88 71-018 Sieradz
710,Ida,Hirsch,kobieta,1999-05-13,plac Dobra 12 29-583 W³oc³awek
711,Józef,Korek,mê¿czyzna,1996-05-06,pl. Kiliñskiego 68/31 51-773 Ostrów Mazowiecka
712,Hubert,Ga³êza,mê¿czyzna,1988-07-13,ul. Modrzewiowa 91 92-805 Œwiecie
713,Tola,Rup,kobieta,1997-08-24,pl. Swierkowa 682 15-122 Rzeszów
714,Rados³aw,Kobak,mê¿czyzna,2001-06-14,ul. Grabowa 188 39-599 Zduñska Wola
715,Tymon,Waleczek,mê¿czyzna,1995-07-13,pl. Kasprowicza 17/21 04-915 Brodnica
716,Ada,Fydrych,kobieta,1986-09-02,pl. Wodna 765 99-393 Nowa Sól
717,Maciej,Smor¹g,mê¿czyzna,1994-04-03,aleja Klonowa 17 12-401 K³odzko
718,Leon,Omiotek,mê¿czyzna,1987-04-14,al. Grunwaldzka 85 40-910 Gorlice
719,Liwia,Zieniewicz,kobieta,1996-05-25,plac Hallera 38 20-978 Czerwionka-Leszczyny
720,Kaja,Wyrwich,kobieta,2004-09-15,pl. Wróblewskiego 42/73 64-151 Œwinoujœcie
721,Leon,Zera,mê¿czyzna,1999-09-30,plac Drzyma³y 90/54 33-354 Zgorzelec
722,Adam,Gal,mê¿czyzna,1986-02-24,ul. Ludowa 630 01-687 Gniezno
723,Dagmara,Luberda,kobieta,1988-05-26,aleja Jagodowa 888 59-308 Wieluñ
724,Bruno,Ko³aczyk,mê¿czyzna,1985-06-01,plac Wodna 06/75 99-070 G³ogów
725,Tymoteusz,Golak,mê¿czyzna,2002-07-17,al. Krokusowa 77 40-113 O³awa
726,Stefan,Maculewicz,mê¿czyzna,1997-12-06,ul. Podgórna 42/88 73-979 Koœcierzyna
727,Mi³osz,Hirsch,mê¿czyzna,1985-02-26,pl. Krañcowa 08 59-678 Olsztyn
728,Ryszard,Makulec,mê¿czyzna,2003-10-05,plac Toruñska 99 43-843 Oleœnica
729,Nataniel,Bazyd³o,mê¿czyzna,1983-10-18,plac Widok 75 81-036 Koœcian
730,Kazimierz,Ryka³a,mê¿czyzna,1983-03-03,ul. Tysi¹clecia 229 83-478 Be³chatów
731,Cyprian,Jarczyk,mê¿czyzna,1985-03-11,ul. Krakowska 27/91 25-081 W¹growiec
732,Grzegorz,Ufnal,mê¿czyzna,1999-12-17,al. Wczasowa 66 58-401 Siemianowice Œl¹skie
733,Liwia,Kiciak,kobieta,1986-12-05,ulica Korczaka 640 59-469 Szczecin
734,Kornelia,Zimniak,kobieta,2004-12-06,ul. Zaciszna 007 09-792 P³oñsk
735,Jêdrzej,Kurant,mê¿czyzna,1986-09-13,pl. Powstañców Wielkopolskich 700 53-594 Chojnice
736,Emil,Dzia³ak,mê¿czyzna,1986-07-30,al. Promienna 88/90 55-241 Ciechanów
737,Franciszek,Puch,mê¿czyzna,1992-09-19,al. D¹browskiej 09 46-824 Siedlce
738,Natasza,Rorat,kobieta,2005-03-02,al. Zielna 04/71 23-338 Pruszcz Gdañski
739,Szymon,Greszta,mê¿czyzna,1987-05-04,pl. Wrzosowa 07 13-162 Stargard Szczeciñski
740,Melania,Baumgart,kobieta,2000-11-24,plac Stefana Batorego 543 17-679 Nysa
741,Stanis³aw,Cherek,mê¿czyzna,1990-01-19,ul. Sk³odowskiej-Curie 59/76 84-746 CzeladŸ
742,Tola,Wenzel,kobieta,2003-03-06,pl. Œrodkowa 171 07-849 Stargard Szczeciñski
743,Jan,Frelich,mê¿czyzna,1996-08-07,ul. Sienkiewicza 23/09 70-179 ¯ary
744,Konstanty,Duchnik,mê¿czyzna,2002-01-22,ul. Jadwigi 08/11 16-417 Warszawa
745,Fryderyk,Aleksa,mê¿czyzna,2004-09-13,al. Jesienna 57/00 28-038 Bêdzin
746,Marcelina,£udzik,kobieta,1995-10-02,al. Maczka 464 03-233 Augustów
747,Julian,Sierota,mê¿czyzna,1986-09-23,aleja Ceglana 52 76-129 Ostrowiec Œwiêtokrzyski
748,Agnieszka,Oczko,kobieta,1988-10-23,plac Jana Sobieskiego 443 39-384 Jas³o
749,Anastazja,Koss,kobieta,1985-06-16,ul. Brzechwy 037 79-901 Bochnia
750,Adrianna,Olas,kobieta,1986-05-19,aleja Ptasia 63/74 32-889 Myszków
751,Ró¿a,Œwiech,kobieta,2003-08-08,ulica Morcinka 656 33-377 Chrzanów
752,Angelika,Klinger,kobieta,1988-12-26,ulica Konarskiego 335 80-263 S³upsk
753,Nela,D¹browicz,kobieta,2000-07-25,pl. Handlowa 14/46 69-874 Nowy Targ
754,Olaf,Osiadacz,mê¿czyzna,1984-10-21,plac Skargi 796 83-764 Kwidzyn
755,Fryderyk,Wojtczuk,mê¿czyzna,2001-12-09,plac Krasiñskiego 121 66-415 Stargard Szczeciñski
756,Kornel,Sromek,mê¿czyzna,1984-03-15,pl. Skoœna 41 40-523 Ko³o
757,Anna Maria,Buza,kobieta,1984-10-04,ulica Tulipanowa 00/42 85-433 Szczytno
758,Ada,Mirocha,kobieta,2003-03-09,ul. Lipowa 988 22-607 Jaros³aw
759,Jan,Gotfryd,mê¿czyzna,2004-12-18,aleja Jana 77/42 71-308 ¯ary
760,Ida,GuŸniczak,kobieta,1986-04-05,aleja Drzyma³y 86 59-411 Zduñska Wola
761,Blanka,Pacholczak,kobieta,1997-02-01,pl. Promienna 646 04-638 Wroc³aw
762,Sara,Michalczak,kobieta,2001-11-19,aleja Porzeczkowa 940 06-151 Konin
763,Nikodem,Skrobek,mê¿czyzna,1986-06-25,aleja Przechodnia 012 38-376 K³odzko
764,Witold,Bieszke,mê¿czyzna,2001-01-07,aleja Jastrzêbia 990 92-932 Grodzisk Mazowiecki
765,Karina,Romaniak,kobieta,1994-08-07,pl. Mostowa 692 23-628 Koœcian
766,Eryk,Gr¹dziel,mê¿czyzna,1983-09-26,plac Stawowa 69 15-182 Zduñska Wola
767,Maks,Tymczyszyn,mê¿czyzna,1999-12-29,pl. Wysoka 76 54-777 Che³m
768,Dominik,Pacia,mê¿czyzna,1995-10-17,ulica Jana 592 63-948 Dzier¿oniów
769,Adrian,Dela,mê¿czyzna,2004-09-23,aleja S³onecznikowa 39/45 40-589 Bielsko-Bia³a
770,Andrzej,Bednarowicz,mê¿czyzna,1984-07-27,plac Korfantego 95 48-603 Radomsko
771,Ewa,Szarzec,kobieta,1988-03-29,pl. Olchowa 634 88-071 Ko³o
772,Rados³aw,Maleszka,mê¿czyzna,1996-07-24,pl. Prusa 196 50-879 Wejherowo
773,Stanis³aw,Stoch,mê¿czyzna,1990-01-14,pl. Morcinka 81/13 57-385 Piekary Œl¹skie
774,Alan,Flisek,mê¿czyzna,1986-06-19,pl. Górna 06 92-849 Bi³goraj
775,Sara,Elias,kobieta,2005-07-09,ul. Podwale 54 86-136 Rybnik
776,Robert,Kwapieñ,mê¿czyzna,2003-03-30,ulica Rajska 82 95-918 Oleœnica
777,Anita,Stiller,kobieta,1984-02-12,pl. Modrzewiowa 56 87-568 Gi¿ycko
778,Olaf,Organiœciak,mê¿czyzna,2003-03-29,ul. Cisowa 21 54-091 Pszczyna
779,Tomasz,Klêk,mê¿czyzna,1997-03-21,al. D³ugosza 872 56-519 Krosno
780,Jeremi,Solis,mê¿czyzna,1991-05-01,ulica W¹ska 10 45-599 Toruñ
781,Mateusz,Syldatk,mê¿czyzna,1995-12-05,ulica Zbo¿owa 343 40-012 Jas³o
782,Daniel,Kierepka,mê¿czyzna,2003-12-28,pl. Turystyczna 519 63-584 W¹growiec
783,Mateusz,Kuciel,mê¿czyzna,1986-05-08,ul. Irysowa 919 74-996 Cieszyn
784,Mi³osz,Rorat,mê¿czyzna,1989-02-01,pl. Œwierczewskiego 609 31-849 Skar¿ysko-Kamienna
785,Miko³aj,£yczek,mê¿czyzna,1999-11-30,ulica Szymanowskiego 874 34-126 Czechowice-Dziedzice
786,Mieszko,Granat,mê¿czyzna,1997-03-16,aleja Zapolskiej 92/86 38-691 Dzier¿oniów
787,Fryderyk,Matwiejczyk,mê¿czyzna,1990-06-29,plac Nieca³a 30 87-917 Piekary Œl¹skie
788,Mateusz,Woroch,mê¿czyzna,1992-05-04,aleja Torowa 606 68-755 Stalowa Wola
789,Apolonia,Skup,kobieta,1997-03-20,ul. Mazurska 24/85 37-994 Œwiebodzice
790,Tola,Golda,kobieta,1984-12-07,ul. Torowa 88/17 32-438 Olkusz
791,Miko³aj,Matyszczak,mê¿czyzna,2002-06-01,ul. Wyszyñskiego 45 64-128 W¹growiec
792,Maurycy,Ulewicz,mê¿czyzna,1984-06-22,aleja Jana Paw³a II 90/38 45-248 Warszawa
793,Maciej,Mordal,mê¿czyzna,1985-12-27,pl. Lipca 31 75-506 Sandomierz
794,Stanis³aw,Zimol¹g,mê¿czyzna,1988-08-27,aleja Koralowa 563 04-833 Lubartów
795,Tymon,Szyba,mê¿czyzna,1985-12-24,ul. Mi³a 44 44-567 Kêtrzyn
796,Miko³aj,Kulis,mê¿czyzna,2002-11-10,plac Lisia 94/19 20-758 Kêtrzyn
797,Janina,Madziar,kobieta,1997-04-24,ulica Turkusowa 50 24-007 Miko³ów
798,Marianna,Solarczyk,kobieta,2005-03-09,pl. Rajska 375 48-855 Tarnowskie Góry
799,Leon,Wiza,mê¿czyzna,2000-04-01,aleja Leœna 86/97 36-073 Grudzi¹dz
800,Kazimierz,Ma³ocha,mê¿czyzna,1983-08-11,al. M³yñska 343 89-880 Wroc³aw
801,Sebastian,Kostro,mê¿czyzna,1986-08-21,al. Letnia 20/66 74-307 Nowy Dwór Mazowiecki
802,Urszula,Kêsek,kobieta,1990-11-16,plac Radosna 84 04-586 Nowy Dwór Mazowiecki
803,Krzysztof,Meler,mê¿czyzna,1990-06-01,ul. M³yñska 743 58-127 P³ock
804,Bruno,Wo³oszyk,mê¿czyzna,2001-01-07,ulica Baczynskiego 290 19-999 Police
805,Wiktor,Walenciak,mê¿czyzna,2003-04-06,aleja Szewska 69/57 79-622 Dêbica
806,Aleks,Andrearczyk,mê¿czyzna,1995-05-31,aleja Pu³askiego 58/68 84-768 Police
807,Adrian,¯akiewicz,mê¿czyzna,2000-04-24,aleja Matejki 81 68-762 Sanok
808,Ewelina,Hirsch,kobieta,1984-06-17,pl. Krasiñskiego 55/20 23-926 Skar¿ysko-Kamienna
809,Rados³aw,Duczek,mê¿czyzna,1986-11-15,ulica Warszawska 87/48 03-938 Œwinoujœcie
810,Grzegorz,Szywa³a,mê¿czyzna,1984-11-26,ul. Makuszyñskiego 967 37-484 Otwock
811,Kaja,Ok³a,kobieta,1993-07-23,pl. ¯eglarska 781 76-319 Œwiecie
812,Nataniel,Kominiak,mê¿czyzna,1999-07-17,ulica Letniskowa 523 09-027 Wejherowo
813,Ignacy,Majsterek,mê¿czyzna,1988-08-03,ulica Ksiê¿ycowa 28/34 19-345 Inowroc³aw
814,Adam,Waloszczyk,mê¿czyzna,1991-01-20,al. Bydgoska 67/53 61-617 ¯ywiec
815,Natasza,Tórz,kobieta,1991-06-06,al. D¹browskiego 268 31-567 Nowa Sól
816,Szymon,Pa³gan,mê¿czyzna,1987-02-15,al. Promienna 08 99-490 Ostrów Wielkopolski
817,Marcelina,Wichary,kobieta,2002-09-27,ulica Mostowa 62/29 61-975 Przemyœl
818,Adam,Dytko,mê¿czyzna,1988-02-22,pl. Powstañców Œl¹skich 08/63 58-501 Jastrzêbie-Zdrój
819,Konstanty,Mitek,mê¿czyzna,1987-12-31,plac Odrzañska 90 79-090 Siemianowice Œl¹skie
820,Antoni,Ko³ak,mê¿czyzna,1987-08-23,ul. Floriana 61/24 84-926 Zduñska Wola
821,Daniel,Szela,mê¿czyzna,2003-09-22,aleja Robotnicza 20 75-451 £uków
822,Aurelia,Szrama,kobieta,2001-06-06,al. Fio³kowa 160 73-947 Pabianice
823,Anna Maria,Mi¹sko,kobieta,1991-03-02,ul. Armii Krajowej 205 26-893 Ostrów Wielkopolski
824,Tobiasz,Pawliszyn,mê¿czyzna,1989-02-11,pl. Koœciuszki 73/76 99-901 Myszków
825,Norbert,Ko³pak,mê¿czyzna,1991-08-28,al. Klasztorna 89/39 25-677 K³odzko
826,Karina,Bylina,kobieta,1997-12-26,plac Ptasia 59 31-576 £owicz
827,Ernest,Rajczak,mê¿czyzna,1994-03-20,pl. Ksiê¿ycowa 18/37 70-010 W³oc³awek
828,Hubert,Pa³ac,mê¿czyzna,2004-05-22,ul. Krasiñskiego 50/09 19-695 Piaseczno
829,Anastazja,Wyciszkiewicz,kobieta,1985-10-09,aleja Jadwigi 72/00 69-436 Starachowice
830,Maksymilian,Kozok,mê¿czyzna,1993-02-24,al. Robotnicza 76/92 02-927 Cieszyn
831,Eliza,Bartman,kobieta,1986-09-23,al. Krasickiego 01 79-583 Pszczyna
832,Roksana,Tylman,kobieta,1988-03-09,ul. D³ugosza 16/08 43-509 Warszawa
833,Krzysztof,Bakun,mê¿czyzna,2001-10-07,plac Œwierczewskiego 74/21 85-867 Czechowice-Dziedzice
834,Ró¿a,Lalak,kobieta,1983-11-18,ulica Lisia 930 44-168 Pabianice
835,Roksana,Cho³ody,kobieta,1997-08-06,aleja G³ogowa 635 75-959 Z¹bki
836,Bartek,Patalas,mê¿czyzna,2004-03-30,plac Strumykowa 363 21-977 Œwidnik
837,Dorota,Janke,kobieta,1998-01-21,pl. D³ugosza 68/61 61-027 Suwa³ki
838,Sonia,Fojt,kobieta,2000-09-16,plac Drzyma³y 564 27-760 W¹growiec
839,Olaf,Lewicz,mê¿czyzna,1983-10-09,plac Radosna 43 43-690 ¯ary
840,Sonia,Nalewajko,kobieta,1998-07-29,al. Wiosenna 36 48-424 Pszczyna
841,Bruno,Kalinka,mê¿czyzna,2001-09-17,plac Rynek 967 53-971 Siedlce
842,£ukasz,Majdan,mê¿czyzna,1999-01-08,ulica Szafirowa 60/25 53-516 ¯ary
843,Kaja,Pitala,kobieta,1983-04-07,aleja Dolna 25 98-894 Czêstochowa
844,Sebastian,Krefta,mê¿czyzna,1986-07-21,ulica Krokusowa 09/01 73-509 Reda
845,Justyna,Pal,kobieta,1990-12-23,ul. Kamienna 95 82-395 Ruda Œl¹ska
846,Rados³aw,Nikel,mê¿czyzna,2001-03-02,ul. Wrzosowa 663 69-272 Kalisz
847,Alan,Szymanik,mê¿czyzna,1994-07-29,ul. Robotnicza 68/22 24-962 Cieszyn
848,Stanis³aw,Kala,mê¿czyzna,1986-01-08,plac Kazimierza Wielkiego 20/23 43-607 Œwinoujœcie
849,Jerzy,Kowara,mê¿czyzna,2001-08-06,ulica Poniatowskiego 553 45-879 Œroda Wielkopolska
850,Eryk,Kapustka,mê¿czyzna,1992-05-23,pl. Popie³uszki 74 15-093 G³ogów
851,Daniel,Ko³ata,mê¿czyzna,1996-12-20,ulica Truskawkowa 40 06-059 Wa³cz
852,Marcin,Heba,mê¿czyzna,1998-01-08,plac Zacisze 73 40-412 Bochnia
853,Mieszko,Wawrzyczek,mê¿czyzna,1998-01-06,pl. Nieca³a 83 93-220 ¯ywiec
854,Tymoteusz,Dom¿a³,mê¿czyzna,2005-04-24,plac S³owicza 87/74 71-832 Dzier¿oniów
855,Tymon,Golus,mê¿czyzna,2000-11-10,ul. £¹czna 89 43-320 O³awa
856,Antoni,Gosek,mê¿czyzna,2000-02-10,pl. Wilcza 402 12-311 Ostro³êka
857,Mieszko,Czochara,mê¿czyzna,1997-05-12,aleja Mokra 472 65-528 Wieluñ
858,Kalina,Wasilewicz,kobieta,1997-11-08,al. Pó³nocna 77/47 76-670 Bêdzin
859,Damian,Koman,mê¿czyzna,2005-05-09,plac Konopnickiej 35/90 40-555 Opole
860,Emil,Nazarko,mê¿czyzna,1991-06-29,ulica S³owackiego 13 78-304 Nysa
861,Tobiasz,Holeksa,mê¿czyzna,1997-03-03,aleja Nadrzeczna 62/30 07-365 Goleniów
862,Adrianna,Wasilewicz,kobieta,1983-09-09,pl. Torowa 99/86 18-457 Suwa³ki
863,Krzysztof,Miechowicz,mê¿czyzna,1994-12-20,plac Makowa 71 76-255 Wa³cz
864,Marek,Miszkiewicz,mê¿czyzna,2001-07-26,ul. Wschodnia 63 13-277 Wrzeœnia
865,Inga,Krochmal,kobieta,1996-07-27,ulica Skargi 78 02-168 Koœcierzyna
866,Nicole,Gomu³a,mê¿czyzna,1988-01-02,plac Wrzosowa 541 57-176 Wa³brzych
867,Marcelina,Bak,kobieta,1990-12-03,pl. ¯ytnia 90/13 51-864 Koœcian
868,Marika,B¹czkiewicz,kobieta,1985-07-21,pl. Solidarnosci 213 15-895 Oleœnica
869,Fryderyk,Spychaj,mê¿czyzna,1995-06-13,pl. Kaszubska 565 50-935 Kutno
870,Eliza,Frymus,kobieta,1992-05-11,plac Zachodnia 44 33-498 £ódŸ
871,Sylwia,Flisiak,kobieta,1983-10-21,aleja Œrodkowa 20 39-264 Miko³ów
872,Kajetan,Drobek,mê¿czyzna,1990-02-12,ulica G³ogowa 11/13 61-089 Legionowo
873,Patryk,Jajko,mê¿czyzna,1990-07-29,al. Œwierczewskiego 794 33-562 Ko³obrzeg
874,Józef,Policht,mê¿czyzna,1997-05-31,pl. Mostowa 15/31 49-558 Pruszcz Gdañski
875,Lidia,¯o³nierczyk,kobieta,1995-12-10,plac Grzybowa 53 71-429 £uków
876,Inga,Ludwik,kobieta,1991-08-06,ul. Poznañska 43/82 55-061 Czerwionka-Leszczyny
877,Ida,Gabara,kobieta,1996-11-10,al. Po³udniowa 555 34-306 £aziska Górne
878,Karina,Danel,kobieta,1993-10-17,ul. Wa³owa 11/51 93-293 S³upsk
879,Mariusz,Welenc,mê¿czyzna,1998-09-04,pl. S³onecznikowa 11/35 46-389 Legnica
880,Robert,Dzienisz,mê¿czyzna,2005-06-27,aleja M³yñska 53 44-630 Legionowo
881,Monika,Cho³ody,kobieta,1993-08-28,ul. Powstañców Wielkopolskich 69 35-659 Miko³ów
882,Leon,Janowiak,mê¿czyzna,1984-08-08,plac Partyzantów 667 63-031 Bielsko-Bia³a
883,Rozalia,Prystupa,kobieta,1985-09-12,ul. Prosta 56/74 25-771 ¯yrardów
884,Karol,Blank,mê¿czyzna,1997-09-07,aleja Pó³nocna 248 71-600 Jaworzno
885,Anastazja,Fojt,kobieta,1991-08-30,plac Konwaliowa 384 68-228 ¯ory
886,Kalina,Otremba,kobieta,1983-03-05,pl. Przechodnia 38/22 09-708 Krosno
887,Franciszek,Naglik,mê¿czyzna,2004-07-09,al. Krakowska 06/45 58-872 Bêdzin
888,Dariusz,Piekara,mê¿czyzna,2002-07-21,pl. Kiliñskiego 596 26-985 Gdañsk
889,Grzegorz,Kozieñ,mê¿czyzna,1984-10-27,ulica Traugutta 901 20-275 Mys³owice
890,Sebastian,Noculak,mê¿czyzna,1988-03-23,ulica Grzybowa 934 68-765 Mys³owice
891,Julianna,Strawa,kobieta,1999-12-26,ul. Podleœna 05 80-232 Toruñ
892,Ida,Salwin,kobieta,2001-03-02,pl. Andersa 88/33 77-821 Jastrzêbie-Zdrój
893,Liwia,Ko³sut,kobieta,1997-11-02,pl. Kusociñskiego 779 73-405 Toruñ
894,Kacper,Lorens,mê¿czyzna,1991-11-20,al. Lawendowa 33/84 20-186 Tomaszów Mazowiecki
895,Dawid,£êgowik,mê¿czyzna,1994-03-28,ulica Wiklinowa 960 35-924 Zakopane
896,Dawid,Doktor,mê¿czyzna,1990-03-28,pl. Rzemieœlnicza 029 96-858 Sosnowiec
897,Bruno,Cymer,mê¿czyzna,2005-08-06,al. Konwaliowa 00/58 31-651 Malbork
898,Hubert,Grochowina,mê¿czyzna,1988-10-29,al. Che³moñskiego 549 23-544 Zambrów
899,Marcin,Hermann,mê¿czyzna,2001-10-18,ulica Korczaka 35 58-893 Jas³o
900,Ryszard,Fiedler,mê¿czyzna,1985-04-22,al. Okrzei 58 41-463 G³ogów
901,Roksana,Gierach,kobieta,1989-04-02,ul. Mazowiecka 64/91 24-199 Skar¿ysko-Kamienna
902,Filip,Wijata,mê¿czyzna,1989-03-19,aleja Zakole 17/37 83-695 Poznañ
903,Robert,Maciuk,mê¿czyzna,1993-12-14,pl. Turkusowa 062 68-919 Szczecinek
904,Robert,Gogó³,mê¿czyzna,1998-12-15,ul. Dworska 14 16-870 Konin
905,Dominik,Megger,mê¿czyzna,1990-02-03,ulica D¹browskiego 13/09 54-510 Gi¿ycko
906,Justyna,Jêdryczka,kobieta,1989-12-17,al. Piwna 518 81-501 Chojnice
907,Liwia,Jankowicz,kobieta,1982-12-18,ul. Ko³³¹taja 506 30-431 Konin
908,Julianna,Kojder,kobieta,1984-07-24,ul. Kazimierza Wielkiego 34/99 81-300 Ostro³êka
909,Adrianna,Mytych,kobieta,2001-11-27,aleja Szymanowskiego 404 14-362 Pruszcz Gdañski
910,Ksawery,Wojak,mê¿czyzna,2004-09-13,ul. Cicha 32 20-166 Sochaczew
911,Ignacy,Klatka,mê¿czyzna,1990-12-13,pl. Spacerowa 03 65-675 Z¹bki
912,Norbert,Rut,mê¿czyzna,1992-07-20,plac Wodna 107 19-227 Rzeszów
913,Robert,Sidorczuk,mê¿czyzna,1999-05-21,ul. Kopernika 12/99 92-773 E³k
914,Marek,Ja¿d¿yk,mê¿czyzna,1986-07-07,al. Klasztorna 60 11-832 Stargard Szczeciñski
915,Konstanty,Ragus,mê¿czyzna,1984-01-29,plac Wróblewskiego 247 15-146 Jawor
916,Nikodem,Wiciak,mê¿czyzna,1993-05-06,aleja Storczykowa 62 35-414 Gorzów Wielkopolski
917,Tymoteusz,Ufniarz,mê¿czyzna,1986-11-15,ulica Rzeczna 798 93-761 Bia³a Podlaska
918,Ewelina,Kafel,kobieta,1994-10-21,aleja Jaworowa 97 68-886 Zakopane
919,Gabriel,Wiech,mê¿czyzna,1986-07-31,plac Kazimierza Wielkiego 07 94-868 Police
920,Anita,Latuszek,kobieta,1999-12-14,ul. Konwaliowa 251 23-339 Lubliniec
921,Kajetan,Flaga,mê¿czyzna,2005-01-04,ul. D¹browskiego 81/12 59-337 Ruda Œl¹ska
922,Jacek,Bobak,mê¿czyzna,2003-06-12,ulica Podleœna 57/77 39-982 Œwidnica
923,Józef,Praczyk,mê¿czyzna,1983-07-08,al. Kasztanowa 37 67-526 Zgorzelec
924,Liwia,Dusik,kobieta,1989-06-19,ulica Podwale 13/85 08-315 Ostrów Mazowiecka
925,Stefan,Laszczyk,mê¿czyzna,1996-09-11,al. Targowa 25 21-087 CzeladŸ
926,Kacper,Plizga,mê¿czyzna,2004-06-07,aleja Fredry 61/34 84-138 Wyszków
927,Marek,Ryszkiewicz,mê¿czyzna,1988-02-22,pl. Cmentarna 15/97 57-041 Zgierz
928,Bartek,Durlik,mê¿czyzna,2002-03-06,plac Kowalska 405 98-774 Kutno
929,Adam,Glazik,mê¿czyzna,2000-08-04,ulica Dzia³kowa 45/22 97-932 Bytom
930,Mi³osz,Tworzyd³o,mê¿czyzna,1983-06-14,plac £anowa 89 65-487 Koœcierzyna
931,Olga,Krata,kobieta,1997-11-27,plac Widokowa 03 93-930 Che³m
932,Albert,Gromala,mê¿czyzna,2001-07-30,ulica Witosa 479 81-018 Czêstochowa
933,Ró¿a,Laszuk,kobieta,1985-11-02,ulica Strumykowa 87/53 91-539 Kêtrzyn
934,Mateusz,Bar³óg,mê¿czyzna,2005-09-12,ul. Wspólna 36 37-961 Zabrze
935,Kajetan,Koniecko,mê¿czyzna,1992-07-29,al. Szczêœliwa 75 99-026 Czechowice-Dziedzice
936,Nela,Baszak,kobieta,1985-03-26,aleja Kamienna 47/33 09-330 Nowy Dwór Mazowiecki
937,Gustaw,M³yñczak,mê¿czyzna,1992-07-10,ul. Sikorskiego 688 19-437 ¯ywiec
938,Konrad,Kinder,mê¿czyzna,1992-08-27,al. Widok 53/86 06-091 Ostrów Mazowiecka
939,Janina,Znojek,kobieta,1983-05-04,ul. Rolna 736 29-822 Lubartów
940,Olaf,Michalczak,mê¿czyzna,1987-12-10,ul. Rzeczna 40 98-334 Wieluñ
941,Juliusz,Samulak,mê¿czyzna,2004-12-30,aleja Przemys³owa 75 44-839 S³upsk
942,Adrianna,Czesak,kobieta,1983-08-11,ulica Turkusowa 10 76-233 Legionowo
943,Stefan,Wojsa,mê¿czyzna,1992-03-07,plac Go³êbia 19/09 88-486 Lêbork
944,Kacper,Hejna,mê¿czyzna,1994-02-21,aleja Mazurska 48 12-808 Gniezno
945,Karol,Podeszwa,mê¿czyzna,1991-11-28,al. Browarna 371 79-262 Che³m
946,Ada,P³aneta,kobieta,1993-05-18,plac D³uga 488 47-875 Zawiercie
947,Kamila,Wiertelak,kobieta,1983-02-03,al. W³adys³awa £okietka 972 42-768 Tarnobrzeg
948,Ksawery,Tr¹bka,mê¿czyzna,1995-06-09,pl. ¯wirowa 86 65-450 Gliwice
949,Wiktor,Owsiany,mê¿czyzna,2000-03-15,aleja Chmielna 15/84 55-479 Koszalin
